"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.0978260869565217,500,TRUE,1,0.309268993914025,"default",0.579418737655257,0.553221756593714,0.454780058189841,0.39904529968479,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.574385445045979,0.562530376830611,0.464787704903123,0.406459666098967,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
1,0.773905569687486,834,FALSE,0.884689787379466,0.383958434918895,"random search",0.668766356631343,0.574100622893068,0.524909568229565,0.336713560438509,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
2,0.190750452224165,1899,TRUE,0.733961644675583,0.00956106628291309,"random search",0.573704280587579,0.543532197763435,0.464222039625456,0.425348705589973,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
3,0.302446554414928,697,FALSE,0.775373009359464,0.838709643576294,"random search",0.492153004730979,0.46362783086527,0.470394869702113,0.459900186028137,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
4,0.978266591206193,207,TRUE,0.564570610970259,0.16120853764005,"random search",0.578163362006891,0.563415127207599,0.505085879806908,0.440566183301669,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
5,0.790551401907578,715,TRUE,0.624316758313216,0.219130895333365,"random search",0.569020218394614,0.523624106736502,0.478369116976718,0.437382341294926,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
6,0.028415052453056,889,FALSE,0.266095553943887,0.130224697291851,"random search",0.438098653496008,0.42742575032399,0.411033386926008,0.411533560047934,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
7,0.26943084760569,1833,TRUE,0.529242211347446,0.608686900930479,"random search",0.509497850833416,0.477729153459159,0.486014255222776,0.455111005448524,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
8,0.8455636263825,1749,FALSE,0.336554690101184,0.425489405402914,"random search",0.507550372095381,0.461533140055373,0.498031980622307,0.462103437757722,0.505494505494505,0.00549450549450549,0,1.97826086956522,92,2,0,182,182,92,0.312052478979979,0.22636208280624,0.516722408026756,0.204391048384166,0.126373626373626,0.029198341783976,0.0297167227284477,0.00173077466490761,0.00119114597924652,0.00251749588180978,0.062677453941692,0.0928194248616156,0.150059044023526,0.0577096358841179,0.010349249603872,0.04639216339264,0.000814086982325534,0.0046528646352286,0.505494505494505,0.010989010989011,0.0217391304347826
