"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.0978260869565217,500,TRUE,1,0.312664330128708,"default",0.664773214813271,0.654660361266535,0.800476814197631,0.759351540281539,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.692367818410144,0.663254432028035,0.832149682153543,0.775038569614606,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
1,0.700248347828165,821,FALSE,0.256070910068229,0.922503390582278,"random search",-0.548158379650786,-0.0101112705187973,-0.405483980187571,-4.04763733226066e-05,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
2,0.264573715627193,10,TRUE,0.995188446855172,0.0772424645256251,"random search",0.671347130004232,0.566375658485527,0.831859707013286,0.723439702933963,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
3,0.293452917598188,941,FALSE,0.583668860746548,0.224092195741832,"random search",0.680177369772104,0.651426614064036,0.814783938125904,0.759933624072235,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
4,0.103979328880087,334,TRUE,0.440031232708134,0.550960498629138,"random search",0.594863919829388,0.612807089304626,0.725496032915674,0.721819688226238,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
5,0.0429878395516425,1720,TRUE,0.57377075762488,0.477932637091726,"random search",0.598580164385597,0.622486611377783,0.731698618441727,0.723583442824828,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
6,0.482640808448195,612,FALSE,0.267849016026594,0.671644902555272,"random search",0.446960369947814,0.495827947771733,0.558676154749918,0.639193426424058,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
7,0.848522370215505,1340,FALSE,0.244834087509662,0.315450641093776,"random search",0.611253178524488,0.615459267873093,0.752555431695603,0.73359770602747,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
8,0.524221213301644,835,TRUE,0.366186849121004,0.152309966972098,"random search",0.638598544667545,0.634514850196313,0.77831252222992,0.743979606330584,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.304213639377396,0.214929807503439,0.528311425682508,0.199978338379546,0.47093023255814,0.0633619010410155,0.0544460467199433,0.00696186778601152,0.00427912096120056,0.00714921778726578,0.133096510621902,0.131866572647839,0.151931380133515,0.0599750575025516,0.0327328873747937,0.0675089841534173,0.00552047290837161,0.0292559372396681,0.534883720930233,0.00581395348837209,0.0108695652173913
