"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.0978260869565217,500,TRUE,1,0.310595357141728,"default",0.438763581777523,0.343455049883073,0.547278739787883,0.479294728584828,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.525624546887568,0.484594809551827,0.568456817539343,0.4536692606031,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
1,0.756209182320163,1496,FALSE,0.630043897544965,0.780560023384169,"random search",0.452915925029948,0.372579706568339,0.495675667705707,0.463313074364646,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
2,0.109570249682292,1795,TRUE,0.146513980673626,0.326666231267154,"random search",0.370307199831709,0.361208830237738,0.392723135476435,0.428389407675653,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
3,0.56621120357886,960,TRUE,0.72657693233341,0.868123799562454,"random search",0.424051843907866,0.347936083245293,0.479581599669188,0.455907840122242,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
4,0.376732815988362,1893,FALSE,0.600941127166152,0.865619761636481,"random search",0.361396975398369,0.345935955487986,0.433434800998766,0.422197100430835,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
5,0.189301740610972,1610,TRUE,0.851390839298256,0.69889423600398,"random search",0.447682654244874,0.394283506628072,0.489333079681429,0.472181563366122,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
6,0.472131724702194,717,FALSE,0.456060681655072,0.896050120005384,"random search",-0.543863722803877,-0.0100211679976632,-0.439152927296243,-0.000115683899655217,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
7,0.0279957388993353,774,TRUE,0.993125842162408,0.921578096225858,"random search",0.282383804397157,0.317365348065094,0.314549989324216,0.377059407736654,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
8,0.201127290725708,944,TRUE,0.377186257624999,0.272192594362423,"random search",0.441029228384159,0.404036304502399,0.50405974688519,0.4819160826775,0.51685393258427,0.0075187969924812,0.0219213194542615,1.93478260869565,92,2,0,133,178,92,0.257113873588379,0.180728558076848,0.574255007327797,0.180625662849547,0.337078651685393,0.0569112726009509,0.0572648118031382,0.00649972881838696,0.00475445899398231,0.00999044471455988,0.109181295716394,0.1693869611768,0.15013554935234,0.0602965915610064,0.0450072393883827,0.123431722928211,0.000703220718692342,0.0042881164964507,0.51685393258427,0.0112359550561798,0.0217391304347826
