"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.14,500,TRUE,1,0.246656030214278,"default",0.822810324597833,0.864857773420149,0.848726023718676,0.876013470868044,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
1,0.26,983,FALSE,0.703,0,"optimal default",0.858966993931505,0.878342752858086,0.866449912486547,0.883520110165601,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
1,0.254500179551542,549,FALSE,0.729464749852195,0.108803401933983,"random search",0.861232281023817,0.882937250865253,0.867088375039762,0.886198510978223,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
2,0.301796410232782,495,FALSE,0.53935339062009,0.475615908158943,"random search",0.809938930463121,0.83880658374745,0.822485254315008,0.854133631221974,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
3,0.894911985844374,1898,TRUE,0.781297390069813,0.947246206225827,"random search",-0.484411499500785,-0.00283762357519746,0.586606954189217,0.561696457582323,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
4,0.620630361838266,1698,TRUE,0.202157435147092,0.701043613022193,"random search",0.59928464404488,0.607842695065946,0.626887945355764,0.645121672405062,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
5,0.917730937711895,1529,FALSE,0.751670344430022,0.16005781898275,"random search",0.895158246734596,0.879214522936847,0.866861486391576,0.845648160206314,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
6,0.73759506107308,1318,TRUE,0.935727134183981,0.498270554235205,"random search",0.865307285237032,0.864257009250131,0.854228474795231,0.862605869476854,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
7,0.515084813348949,177,TRUE,0.927073868573643,0.527961659943685,"random search",0.84711808172978,0.852985732818454,0.842015901538016,0.861881281506838,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
8,0.0178553247824311,261,FALSE,0.873757323459722,0.590361426118761,"random search",0.546777455367152,0.653723134681403,0.571432393258764,0.671040858586321,0.0733137829912024,0.00167224080267559,0.000606673924495626,13.64,50,1,7,598,682,43,0.185507498144875,0.167295791137834,0.532927451230397,0.116642876756785,0.153958944281525,0.0369920158386814,0.0362015230952276,0.0026770378822552,0.00198114032055054,0.00490103415157987,0.0451021883247914,0.0575299867461793,0.13725554231803,0.0526127946545603,0.00427934878678524,0.0132710877138908,0.000410023744412718,0.00249870133059113,0.134897360703812,0.00146627565982405,0.0108695652173913
