"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.14,500,TRUE,1,0.246107004840506,"default",0.683527237395718,0.692774465556662,0.678164372277696,0.706010602425523,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
1,0.26,983,FALSE,0.703,0,"optimal default",0.709225290385351,0.709840996824037,0.702530210550734,0.725664460795628,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
1,0.418559313518927,1533,FALSE,0.993706914037466,0.575694309314713,"random search",0.651172887713616,0.635628349862284,0.598561221166249,0.604761112458039,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
2,0.383242015959695,1002,TRUE,0.418042774056084,0.262248207814991,"random search",0.654572176339787,0.656234667633775,0.631309327126944,0.632591423318775,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
3,0.141551054781303,1718,TRUE,0.902653821278363,0.0740905238781124,"random search",0.699884995823248,0.705854082984623,0.680613575488466,0.707371931692686,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
4,0.0255511794239283,387,TRUE,0.844820690364577,0.617298549041152,"random search",0.479558698683818,0.550158499132642,0.487325321222389,0.542340913493804,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
5,0.162265897961333,1413,FALSE,0.600308091263287,0.486274948809296,"random search",0.633354063102302,0.635959904171813,0.611580353552362,0.611353224544634,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
6,0.220496351132169,338,FALSE,0.433464563940652,0.722252199659124,"random search",0.528604062490293,0.545186424211568,0.505941253029661,0.477414483739761,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
7,0.846478049876168,697,TRUE,0.713889955030754,0.755105296382681,"random search",0.589255059036941,0.565123487728574,0.52575136557105,0.442603398301785,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
8,0.032534854952246,707,TRUE,0.292084297048859,0.0864130724221468,"random search",0.555303713045473,0.610566421215086,0.555722292289573,0.610615601058567,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
9,0.129664225736633,1581,FALSE,0.837656507571228,0.89946915069595,"random search",0.447736799567292,0.500755073595936,0.446745076596044,0.467653720642902,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
10,0.548602283699438,479,TRUE,0.607572064595297,0.512201207922772,"random search",0.644410065725344,0.633871444270778,0.599374388428756,0.564677810475137,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
11,0.130186615977436,15,FALSE,0.875672832666896,0.140202627750114,"random search",0.733740861755185,0.706602217329677,0.760184342263824,0.726890741664511,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
12,0.829201918793842,801,TRUE,0.435286820703186,0.734159188345075,"random search",0.595099914192871,0.566352051810678,0.537695223369426,0.45386933841498,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
13,0.872366370633245,637,FALSE,0.462248912313953,0.094493709737435,"random search",0.684661525270264,0.671176431709139,0.637632406782622,0.640022803494764,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
14,0.783603509189561,1174,TRUE,0.825856712390669,0.391075044637546,"random search",0.685828615286969,0.663958877245516,0.645112088834544,0.650292954167162,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.638853983412918,0.104281454620043,0.242774566473988,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.120116172390099,0.0631693319842718,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.132947976878613,0.00144508670520231,0.0108695652173913
