"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.14,500,TRUE,1,0.247102879067275,"default",0.427867527319232,0.403164949408641,0.655893697309733,0.688756277162171,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
1,0.26,983,FALSE,0.703,0,"optimal default",0.440461306703795,0.38014822725726,0.684446853594379,0.702049687650139,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
1,0.22653125366196,743,FALSE,0.997590855369344,0.183085862547159,"random search",0.490443387901539,0.389154438570278,0.737839100451839,0.729664988481487,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
2,0.229298763209954,403,FALSE,0.861348085547797,0.880450584925711,"random search",0.159727641674764,0.187834210506179,0.33469753782465,0.377494260369598,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
3,0.462549109943211,1096,FALSE,0.751755347615108,0.984093408100307,"random search",-0.456164432962313,-0.000975827303078658,-0.409044587051857,-0.00125963215336422,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
4,0.951196072390303,1239,FALSE,0.963699830183759,0.517269939417019,"random search",0.44481121718874,0.338320036431596,0.679643729166296,0.600900304026054,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
5,0.660104909911752,418,TRUE,0.577857944602147,0.701195559231564,"random search",0.264081495949135,0.231240856600319,0.454904524538671,0.429710940003801,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
6,0.143688593292609,931,TRUE,0.46718915135134,0.0959389300551265,"random search",0.358173512987336,0.351776008716647,0.588645269268671,0.634935977494552,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
7,0.104290125891566,1949,FALSE,0.359365959116258,0.122711991425604,"random search",0.35101128266428,0.355543372107441,0.56774686071068,0.613271190665003,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
8,0.82517736335285,906,FALSE,0.24558699761983,0.686772556044161,"random search",0.216790572193336,0.211941840263468,0.396576122717335,0.377195125386884,0.0741839762611276,0.00148588410104012,5.71916427664466e-05,13.48,50,1,7,673,674,43,0.0904241884976811,0.0775788294217007,0.55323697393191,0.0894666000009502,0.0207715133531157,0.0324774164827956,0.0422314842554575,0.0028356347039607,0.00207748429977625,0.013283726937267,0.0346045568405443,0.0550509340768253,0.144694177107143,0.0505553942865269,0.0050185341304008,0.0424260153595505,0.000191682423558002,0.000912963452481596,0.137982195845697,0.00148367952522255,0.010752688172043
