"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.14,500,TRUE,1,0.246600655798255,"default",0.393327342479724,0.384860916892813,0.451408572991499,0.406056050683326,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
1,0.26,983,FALSE,0.703,0,"optimal default",0.435050842386139,0.396913001214904,0.492354294870082,0.408707089890648,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
1,0.81481227488257,647,FALSE,0.224034983618185,0.694122929126024,"random search",0.150063953363786,0.21201836824249,0.190821321287729,0.244022144980569,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
2,0.929899943061173,477,FALSE,0.135976846911944,0.00303399167023599,"random search",0.222729078744464,0.268919445956711,0.255367816513043,0.296111887155699,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
3,0.834243616322055,1560,TRUE,0.28343454785645,0.420140022644773,"random search",0.258988865117353,0.282435229846501,0.306097601301557,0.325016318281998,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
4,0.36856014514342,1468,TRUE,0.426590672647581,0.352723545162007,"random search",0.317422978552941,0.331439532146873,0.363934619868721,0.36654842936979,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
5,0.793023901525885,1073,TRUE,0.884813933633268,0.551384082995355,"random search",0.342030494006425,0.334211559124006,0.383948297529871,0.356045262700337,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
6,0.470001914072782,72,TRUE,0.378389295632951,0.207651613280177,"random search",0.315003517898901,0.304245834497313,0.37138354198816,0.364335681207298,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
7,0.751246749889106,1641,TRUE,0.272188576660119,0.867855666903779,"random search",-0.472311310691726,-0.00200005890096544,-0.469797490751768,-4.43948267385696e-05,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
8,0.825941736344248,282,FALSE,0.801768460636959,0.956327472580597,"random search",-0.502851128893222,-0.00450339827670732,0.0475198223802852,0.142590572708867,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
9,0.971712182741612,59,FALSE,0.201313023152761,0.573693657061085,"random search",0.175720348356751,0.221187925099633,0.237818834233988,0.271994648474146,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
10,0.115233802236617,1014,FALSE,0.319201343436725,0.634150787489489,"random search",0.144375829202496,0.218910885547567,0.192765447182227,0.251579688967137,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
11,0.460158726433292,1296,TRUE,0.999689787440002,0.203450995264575,"random search",0.416086513806123,0.37706739037919,0.468480411950002,0.405854304859857,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
12,0.205216998467222,1380,FALSE,0.296911032544449,0.738181959604844,"random search",0.108924892406299,0.188468444068787,0.163953081382957,0.231222187033791,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
13,0.967048902064562,1729,FALSE,0.845564804924652,0.759675554465503,"random search",0.219211743316184,0.205287005988555,0.284108989970717,0.266256448553111,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
14,0.962121256161481,520,FALSE,0.564403975801542,0.531940869987011,"random search",0.314158207715463,0.293226878415128,0.356414240613205,0.353251853121092,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
15,0.999970251694322,1475,TRUE,0.918120928970166,0.254143695579842,"random search",0.425847131845914,0.379826793216632,0.46830246118419,0.410641291310625,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
16,0.233764277305454,553,FALSE,0.250508735910989,0.266053460305557,"random search",0.26848321640672,0.298049970403616,0.316240682141714,0.335215510700402,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
17,0.235872069839388,620,FALSE,0.416066912421957,0.7021673922427,"random search",0.175443774244836,0.229158222095936,0.221718751137497,0.254952463930966,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
18,0.196390352677554,536,TRUE,0.395811434043571,0.250659870449454,"random search",0.313713829332521,0.336525089389731,0.359637856128478,0.366106644184336,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
19,0.378463433124125,698,FALSE,0.378636035812087,0.606332184979692,"random search",0.20878264995059,0.245758069097777,0.265083830638872,0.281030029014688,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
20,0.574254408711568,619,FALSE,0.716661283164285,0.617025313898921,"random search",0.297112089963411,0.29504780250036,0.323366172864981,0.296904658525275,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
21,0.753941213246435,879,TRUE,0.617350278212689,0.517211160156876,"random search",0.316729042308612,0.313157006123581,0.351669458807247,0.338652670556213,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
22,0.746895330492407,1973,FALSE,0.655901515204459,0.0969454634469002,"random search",0.43321864513014,0.379496312658551,0.489966128087562,0.402999127397323,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
23,0.953297627856955,1913,FALSE,0.904871407779865,0.540595388971269,"random search",0.379351543385331,0.30827001576694,0.445488442711285,0.307395825901456,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
24,0.35247011994943,696,TRUE,0.214474363997579,0.837795910891145,"random search",-0.463460955657876,-0.00139521337721926,-0.409922983133689,-4.68584170649766e-05,0.0732064421669107,0.00146842878120411,7.92868509022938e-05,13.66,50,1,7,681,683,43,0.071206975610294,0.0546026968228849,0.563658453007694,0.0809944456738914,0.209370424597365,0.0519273271715582,0.047509591818453,0.00495030384695306,0.00383963825595442,0.00721470853968586,0.0656209098757877,0.0648399960164604,0.147117049544943,0.0460138675154609,0.00736349383412465,0.0200089638814443,0.00137377538577366,0.013446595472706,0.137628111273792,0.00146412884333821,0.0106382978723404
