"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.14,500,TRUE,1,0.245621667334226,"default",0.448055953233938,0.458333166261792,0.506100643454075,0.583075826888138,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
1,0.26,983,FALSE,0.703,0,"optimal default",0.524590311574475,0.466557281698038,0.522027565223357,0.608736145155195,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
1,0.995815120870247,1088,FALSE,0.581107965949923,0.883519600844011,"random search",0.320988611428874,0.156272922059514,0.455679529022347,0.490620577992031,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
2,0.711915819905698,540,FALSE,0.376914306147955,0.521176492329687,"random search",0.363073721919525,0.243944475287367,0.422791281675507,0.454887249831844,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
3,0.127687667496502,1224,TRUE,0.460614906391129,0.869174338877201,"random search",-0.487889018082755,-0.00302414286716979,0.252561610932252,0.287766392986209,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
4,0.16758857970126,171,TRUE,0.39231614836026,0.920831028372049,"random search",-0.479942141090166,-0.00379427395559517,-0.436191888872075,-0.0486206977828265,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
5,0.213798440527171,947,FALSE,0.891468356736004,0.423400190658867,"random search",0.398726119972349,0.341264426579225,0.44451514786572,0.506462529931707,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
6,0.437024185201153,1065,TRUE,0.349879327602684,0.727678059833124,"random search",0.338507692479329,0.303336318071377,0.376117919566988,0.408577730867141,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
7,0.582966113695875,1863,FALSE,0.459205414564349,0.0681711439974606,"random search",0.474456272735553,0.376273924004445,0.511203984651526,0.577968779477586,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
8,0.186107080895454,854,TRUE,0.76641390863806,0.839479967020452,"random search",0.269827356784848,0.2842761278203,0.316590083619733,0.351780111480682,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.315248569631709,0.250549343089673,0.0171184022824536,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0618861474923552,0.0457088576324558,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.132667617689016,0.0014265335235378,0.010752688172043
