"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.312312603104492,"default",0.861573381667525,0.876185127998085,0.902292143137209,0.893528336941725,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.889294787888159,0.88448765674848,0.921489450892104,0.888086021413804,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
1,0.96660136221908,842,TRUE,0.933694077585824,0.444028591969982,"random search",0.896289551761634,0.87721136182235,0.927030199974058,0.878495574324794,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
2,0.828454070724547,710,TRUE,0.781468482734635,0.891049628378823,"random search",0.736403928078459,0.741825657095735,0.761442284450074,0.762087873723857,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
3,0.228492777561769,1416,FALSE,0.872640159307048,0.290730931796134,"random search",0.889404627508785,0.876757271545789,0.918865859439639,0.882559579423793,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
4,0.829581483500078,833,TRUE,0.289449808304198,0.0240426543168724,"random search",0.864682739685877,0.876217786733429,0.913566218433843,0.885618368642891,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
5,0.715506197186187,1159,TRUE,0.735157873225398,0.852340647950768,"random search",0.743790386717994,0.747773084271442,0.790783348957502,0.782664430289134,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
6,0.637016905238852,11,FALSE,0.467448731558397,0.915990598266944,"random search",-0.500314921897349,-0.00902783731800993,-0.460070430514826,-0.0186763826867937,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
7,0.510535398032516,873,TRUE,0.63136630600784,0.0224609232973307,"random search",0.881894049086533,0.878328658860431,0.923223601484,0.888963123782661,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
8,0.0560533937532455,270,FALSE,0.48125234558247,0.501093329396099,"random search",0.782168209075764,0.827219312887808,0.832538291698367,0.869399723752804,0.398843930635838,0.00578034682080925,0,2.50724637681159,69,3,9,173,173,60,0.360116853981708,0.287372678064204,0.490044958253051,0.212680784487502,0.104046242774566,0.0309998875080818,0.028240572218918,0.0017539129452324,0.00114519495893416,0.00243251733286754,0.079667053786665,0.112440801890904,0.139574021748944,0.0694675924117465,0.0177856000878356,0.0498583126451748,7.59416217059321e-05,0.000424188059983802,0.624277456647399,0.0115606936416185,0.0185185185185185
