"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.311274131005646,"default",0.60864193483057,0.527697458297583,0.746659319989849,0.80710145992455,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.62958975384463,0.544189179245539,0.784051993634491,0.818204642581419,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
1,0.544754648115486,197,TRUE,0.686909765424207,0.858415864408016,"random search",0.410182270847876,0.398830862529956,0.529221256647502,0.504120339319144,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
2,0.630293105030432,1394,FALSE,0.502965015103109,0.57453223108314,"random search",0.589023124316602,0.516858568482009,0.731783289089435,0.787607836730139,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
3,0.812394177773967,1974,FALSE,0.540703234099783,0.0157260682899505,"random search",0.620547857770971,0.541758231586302,0.765479041757839,0.82139015539404,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
4,0.153618609765545,1097,TRUE,0.610058505251072,0.183840493671596,"random search",0.580983518058337,0.532373926368955,0.712400369697061,0.78757643565822,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
5,0.0295954667963088,232,TRUE,0.494375838781707,0.119777482235804,"random search",0.565140582456818,0.529573276558935,0.700087655078926,0.771096020118142,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
6,0.756826534634456,1747,TRUE,0.860867390525527,0.893969635711983,"random search",0.417330071112698,0.398068760664311,0.537961423590353,0.513992687063713,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
7,0.644400579622015,656,TRUE,0.805437834677286,0.0754518939647824,"random search",0.625352014258305,0.550927662204798,0.749765514028375,0.811813775294989,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
8,0.471011956455186,161,TRUE,0.590524255065247,0.363806574372575,"random search",0.599274634879938,0.543331820318076,0.742535889981561,0.807360258275835,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518850892098556,0.144345862581434,0.289772727272727,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.165792837128905,0.0805863883806514,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.607954545454545,0.0113636363636364,0.0186915887850467
