"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.309596774366572,"default",0.816402269531141,0.789651761897624,0.873227125713683,0.769898323660935,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.831316233757162,0.791622491324018,0.879861797582995,0.762315121568165,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
1,0.220106129534543,1873,FALSE,0.959467420866713,0.436181872850284,"random search",0.832330575328633,0.772850134240801,0.884778878474073,0.766298713623988,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
2,0.257193311583251,1696,FALSE,0.756836571521126,0.178260659566149,"random search",0.833754847329341,0.777095027440634,0.884524227976769,0.769044506577008,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
3,0.469586102059111,369,FALSE,0.849901382229291,0.815311926649883,"random search",0.662794522807015,0.593763938508786,0.715018404500671,0.605116907385189,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
4,0.878430770942941,681,TRUE,0.702301168185659,0.960509241325781,"random search",-0.577073813451037,-0.0137017358452742,-0.488806336392993,-0.00813873994485736,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
5,0.0775484300684184,1905,TRUE,0.309338439488783,0.624627704499289,"random search",0.624087783352815,0.669908487301878,0.6733473823142,0.671312959651315,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
6,0.440635696286336,482,FALSE,0.383790122554638,0.61471194634214,"random search",0.72938513930332,0.738142408265669,0.790476230745352,0.707517720557953,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
7,0.322632927214727,206,FALSE,0.37111502639018,0.564683887874708,"random search",0.76149418358891,0.760873910742024,0.820873754141789,0.735678422118676,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
8,0.0259173810482025,1629,FALSE,0.375619673007168,0.916342488722876,"random search",-0.520740387104134,-0.00613387666085741,-0.497074810822861,-0.00814026125728895,0.38121546961326,0.00552486187845304,0,2.6231884057971,69,3,9,181,181,60,0.324666344338808,0.236621906611175,0.501995089011664,0.15989119011379,0.320441988950276,0.0453585300611328,0.0426189130817544,0.00386373279852561,0.00288275656880186,0.00605729990740077,0.0989070670766411,0.100141635661293,0.168395841954984,0.080576365851881,0.0218477721451286,0.0401274160907233,0.000114050528019764,0.000753575673617466,0.596685082872928,0.0165745856353591,0.0277777777777778
