"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.312312603104492,"default",0.254972383866297,0.206966456708558,0.504021222507669,0.494757604089152,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.251156992705253,0.148712071925734,0.543360368313266,0.519746956976537,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
1,0.469458926701918,1453,FALSE,0.43160209772177,0.411878188839182,"random search",0.213179442702092,0.190165937582521,0.460212605418353,0.469836108755264,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
2,0.204484255285934,817,FALSE,0.727197867073119,0.244835066143423,"random search",0.2291403111643,0.137797119692772,0.538337551628474,0.512252039645108,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
3,0.495688016992062,1355,TRUE,0.60614033495076,0.563945767469704,"random search",0.192950815434537,0.162526737641388,0.448705739269661,0.457010207487932,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
4,0.274738125735894,1192,FALSE,0.918226432823576,0.973255784716457,"random search",-0.543140316811074,-0.0088267199085641,0.189705560587846,0.220689636791496,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
5,0.567118912935257,474,FALSE,0.23931141118519,0.503749288385734,"random search",0.127300308785575,0.15533132865086,0.328339117555488,0.361058006412369,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
6,0.0769008107017726,960,FALSE,0.396242955164053,0.501822679303586,"random search",0.190692171003394,0.203662709193259,0.416384126535155,0.436346461499673,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
7,0.742127130739391,1323,TRUE,0.537089654617012,0.101037520216778,"random search",0.239090736872468,0.216723613566683,0.467191286992518,0.474200396110703,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
8,0.232255632989109,1079,FALSE,0.929516634694301,0.446795972296968,"random search",0.230153488004955,0.125184507047175,0.536641401682584,0.495849738934918,0.398843930635838,0.00662251655629139,0.00732371998218992,2.50724637681159,69,3,9,151,173,60,0.191976841771371,0.131863930823474,0.544637122671805,0.107198782063143,0.46242774566474,0.0709562400013283,0.0602620270739037,0.00864530850387532,0.00663573210519119,0.0138465070700001,0.131410793978173,0.152200702036117,0.172732600558623,0.0762722764822773,0.0373364706724165,0.0822703714825922,0.00429420151595126,0.0365501577558556,0.624277456647399,0.0173410404624277,0.0277777777777778
