"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.310933414909891,"default",0.699919025062655,0.680872364615961,0.712661086601514,0.711502986666115,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.739539950127861,0.706850070782492,0.73486041958221,0.722061105366361,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
1,0.699732047738507,1877,FALSE,0.716695833578706,0.627187576377764,"random search",0.687987664789165,0.632119881970777,0.715159013206561,0.713028458166471,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
2,0.0859178204555064,1262,TRUE,0.96437863484025,0.055892541538924,"random search",0.703862878450544,0.686679384848672,0.692211845466516,0.700951113004949,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
3,0.649771128548309,1379,FALSE,0.774482821696438,0.682817457709461,"random search",0.666123966059859,0.623339016490152,0.702344335388863,0.707731213831285,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
4,0.71238298364915,676,FALSE,0.667441276088357,0.944455599412322,"random search",-0.59441491440956,-0.0157762283524621,-0.329362070948969,-0.0499606182775569,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
5,0.895382323069498,640,FALSE,0.553921993495896,0.955293495906517,"random search",-0.581289534268622,-0.0148948257575023,-0.236057148054462,-0.0510902322293785,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
6,0.288023910252377,1305,FALSE,0.61782089965418,0.129961192142218,"random search",0.719876739470648,0.685947883654168,0.721235905613022,0.718690721295987,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
7,0.426268042996526,1175,FALSE,0.219753952976316,0.574287496507168,"random search",0.529157005738851,0.505277584028237,0.563038680906203,0.555931983114549,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
8,0.815275974106044,1994,FALSE,0.826248472277075,0.0893827462568879,"random search",0.737368279672018,0.64481035139615,0.788365786134453,0.737397865318736,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
9,0.588807059684768,1752,FALSE,0.274072781554423,0.588923682225868,"random search",0.568245716681335,0.542522835404479,0.600760486964178,0.603984220551967,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
10,0.546946798451245,1100,FALSE,0.545004966575652,0.887474670307711,"random search",-0.545802284300586,-0.00929849608155342,-0.406015886489192,-0.0503733178368309,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
11,0.523318517953157,207,TRUE,0.639295945782214,0.436756079783663,"random search",0.699752144315804,0.66987050444764,0.716869543185429,0.712142325117339,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
12,0.604747523088008,1093,FALSE,0.675752350920811,0.992606956744567,"random search",-0.511683459694935,-0.00535079556695095,-0.487446409822898,-0.0506436908411472,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
13,0.866246034624055,1557,TRUE,0.279817936010659,0.122519695898518,"random search",0.636484882355377,0.643178142693721,0.650927408865066,0.686325639934019,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
14,0.601649870164692,1343,FALSE,0.316618796717376,0.915391012793407,"random search",-0.625557047287666,-0.0230164794932126,-0.502105462339238,-0.0481270700336256,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
15,0.481581963133067,863,TRUE,0.43615353484638,0.575200371677056,"random search",0.650367346414586,0.626691298314112,0.664369572459195,0.681871529331271,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
16,0.799104702658951,512,TRUE,0.937292778980918,0.636896136216819,"random search",0.689964710138747,0.637187775036421,0.722966916663089,0.710546031458619,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
17,0.740821952698752,1004,TRUE,0.707032268680632,0.468626420712098,"random search",0.701722257435925,0.672855104175089,0.722591780808931,0.71264055681591,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
18,0.784428730839863,1084,TRUE,0.850986115960404,0.750068745808676,"random search",0.633195940874415,0.589432539355473,0.675159077300719,0.670208025847263,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
19,0.474681284744292,699,TRUE,0.754715185589157,0.476856429129839,"random search",0.695823064184749,0.660915016129342,0.713762937010505,0.718189577883238,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
20,0.891442959895357,845,TRUE,0.441793079208583,0.241453527007252,"random search",0.679472259448383,0.675286886223806,0.692233017142563,0.705456312220311,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
21,0.213908529374748,1893,TRUE,0.915820797905326,0.393907615216449,"random search",0.705874716083292,0.682046780852844,0.711086305582892,0.711224126864602,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
22,0.876176377292722,1560,FALSE,0.101469492842443,0.453184329206124,"random search",0.439390761181521,0.476644812513857,0.434083573101785,0.489917108088915,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.516149664214902,0.148950198794748,0.519774011299435,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.169494207928958,0.0786246740254775,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.598870056497175,0.0169491525423729,0.0283018867924528
