"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.313018908131133,"default",0.681365428378518,0.634616764323355,0.658076722071922,0.583399316515614,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.703650999929063,0.623942378183291,0.676345592163789,0.594370344556702,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
1,0.28076421841979,1206,FALSE,0.639970631571487,0.104109984589741,"random search",0.703787131120212,0.635795179160229,0.671585036853022,0.59427019214288,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
2,0.899356840411201,1071,TRUE,0.950634364481084,0.723469758406281,"random search",0.658212131020958,0.598182690408191,0.644305816862615,0.529595257349335,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
3,0.12809392483905,1560,FALSE,0.339293935871683,0.372023687465116,"random search",0.642572304652136,0.60872956141373,0.617149230152854,0.538519037038447,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
4,0.420761544024572,1842,TRUE,0.45108048482798,0.0986856035888195,"random search",0.676322944359888,0.61863733726001,0.646931682056011,0.555444385505749,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
5,0.399405241478235,3,TRUE,0.645283207530156,0.140838984400034,"random search",0.669464071700169,0.509732441786471,0.65849122803915,0.436349143070426,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
6,0.724070759024471,1768,FALSE,0.90437421402894,0.075728930067271,"random search",0.737715826131792,0.608322570357014,0.674883339146297,0.557606758621757,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
7,0.749171179486439,621,FALSE,0.680084927543066,0.048976049060002,"random search",0.720544640484364,0.647083933283424,0.669397133725383,0.564436125773065,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
8,0.972225801320747,548,TRUE,0.997306590247899,0.255532755982131,"random search",0.725554737289614,0.653630918957543,0.671961888305894,0.575064778367765,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
9,0.835949381580576,1065,TRUE,0.296542334416881,0.113690508529544,"random search",0.651715881427467,0.620122645048864,0.625377764503062,0.535218785941294,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
10,0.978453615913168,1460,FALSE,0.348205382749438,0.954428323078901,"random search",-0.538405248983414,-0.00890414994793676,-0.558476221845591,-0.0171018742012645,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
11,0.328574823448434,1700,TRUE,0.238477325486019,0.0697209702339023,"random search",0.616771583278147,0.597784579301151,0.604909671403113,0.514906869078783,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
12,0.420610560337082,453,FALSE,0.809179548732936,0.844000308774412,"random search",0.495930676807852,0.442649087882265,0.519597689549357,0.377432816509919,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
13,0.443628811277449,1151,TRUE,0.573676303215325,0.763313223142177,"random search",0.544891900866644,0.503439046155886,0.568091496865159,0.43626306075148,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
14,0.654668463626876,146,TRUE,0.896727559668943,0.707070930162445,"random search",0.639628995487517,0.567668821328453,0.64445265753907,0.529386909374071,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
15,0.0814915588125587,479,FALSE,0.109508809191175,0.930070166476071,"random search",-0.602734939350662,-0.0201677238803655,-0.394835974363188,-0.0192432809462197,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
16,0.356279137311503,1244,FALSE,0.482279997086152,0.23287054640241,"random search",0.695083847354099,0.637164079082057,0.66691545598931,0.577734747025971,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
17,0.467990842880681,1491,TRUE,0.609845284093171,0.0317772284615785,"random search",0.692167307514697,0.628657386216456,0.659987509014503,0.574378669841163,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
18,0.749856903450564,1041,FALSE,0.96645288891159,0.499502391787246,"random search",0.705232215408233,0.569403165064279,0.681716053218925,0.559656490449857,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
19,0.13904916960746,1508,TRUE,0.519892965094186,0.641804323298857,"random search",0.611289978861617,0.588253193598278,0.598349987889559,0.492521470380273,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
20,0.230636236723512,163,TRUE,0.485814640624449,0.626243153121322,"random search",0.621726041873303,0.585801503906015,0.603433850282425,0.491248748233828,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
21,0.324980569537729,595,TRUE,0.461803605896421,0.890820207307115,"random search",-0.520834253045139,-0.00720695272312688,-0.402585964803212,-0.016393049713836,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
22,0.0321460696868598,138,TRUE,0.80746911263559,0.518851129803807,"random search",0.635118393587879,0.609147828367918,0.606635224081191,0.50679133799239,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
23,0.518373660277575,1012,TRUE,0.440374045004137,0.239964689826593,"random search",0.671217365589205,0.61696709496071,0.644462516189541,0.554093735254114,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
24,0.754851969191805,719,FALSE,0.453641205909662,0.306381509639323,"random search",0.692195628925589,0.618557817889281,0.658967285602873,0.564701741803589,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
25,0.668681778712198,1091,FALSE,0.212643285910599,0.769404799444601,"random search",-0.524545006573215,-0.00555941772496182,-0.503189999300623,-0.0171241995149647,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
26,0.953555024694651,900,TRUE,0.616960585932247,0.299566054949537,"random search",0.694268612361219,0.637821649502547,0.65974901364432,0.560518540094487,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
27,0.049488622462377,1608,TRUE,0.252909109089524,0.808124907780439,"random search",-0.499279293496767,-0.00366494919182303,-0.535781612228006,-0.0159324781774763,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.283759339073691,0.220171868995125,0.513737173121483,0.159716569546221,0.590643274853801,0.0645585821998491,0.0569820763966895,0.00739577951332302,0.00489059613824942,0.00816228691046587,0.132554536416461,0.123349017194451,0.172049906584853,0.0736321073326613,0.0327428449377893,0.0586832380215391,0.0010024749195122,0.00625217247833386,0.619883040935672,0.0116959064327485,0.0188679245283019
