"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.309927072118498,"default",0.716316568266656,0.679836547741539,0.666691493102143,0.809304558665534,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.749679447254354,0.712216429768662,0.704116850562535,0.825125499702923,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
1,0.0130297602154315,1633,FALSE,0.196582437935285,0.526281056227162,"random search",0.347764137330136,0.424834646195232,0.365705738940153,0.546202144745288,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
2,0.299559214850888,1329,FALSE,0.423110319115222,0.711351190228015,"random search",0.568032374872008,0.534620631378011,0.543733431725885,0.667456205570972,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
3,0.601427791174501,1349,TRUE,0.246654930873774,0.389295310247689,"random search",0.662861563048219,0.632217215505597,0.61147830397272,0.769967356546286,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
4,0.519072346156463,165,TRUE,0.808986196876504,0.449456969508901,"random search",0.722930519429258,0.673786970082652,0.677264661411887,0.824090633100354,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
5,0.58987641101703,250,TRUE,0.140542543120682,0.333027929067612,"random search",0.611972573818474,0.602819315356059,0.570025379047737,0.72581203008974,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
6,0.141434512333944,116,TRUE,0.218840732472017,0.0145747966598719,"random search",0.630819829280338,0.626296386351406,0.566537762758427,0.731408855365263,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
7,0.201824948191643,658,FALSE,0.339404802466743,0.586223266553134,"random search",0.642333326210874,0.611145069148919,0.604944655249204,0.757777810492383,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
8,0.263124136254191,268,TRUE,0.187146096583456,0.477735825814307,"random search",0.612824076538884,0.596245305482711,0.576154590625114,0.711513651869473,0.383333333333333,0.00555555555555556,0,2.60869565217391,69,3,9,180,180,60,0.299305904415007,0.239125977007178,0.512654320987654,0.17073070912821,0.477777777777778,0.0374156589345828,0.0294806377615532,0.00226421115854346,0.00164087699166343,0.002872965597419,0.09034978245944,0.0936407324297158,0.163407089840995,0.0775725255166915,0.0148038039380078,0.0318814126026558,0.000442241254302209,0.00329291216299354,0.6,0.0166666666666667,0.0277777777777778
