"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.313018908131133,"default",0.381638209975182,0.331337613249666,0.466384594974397,0.535865864397271,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.435423494416469,0.346541006180003,0.478736905599528,0.513385824429648,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
1,0.286385647021234,1321,FALSE,0.528577710408717,0.231421286938712,"random search",0.38128469747677,0.317295616176855,0.465047361146041,0.529135965243195,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
2,0.737155210692436,1235,FALSE,0.175170994317159,0.929486311739311,"random search",-0.57036440411473,-0.0122492667287335,-0.363509354965515,-0.000134162291667295,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
3,0.899607826257125,1032,FALSE,0.116630317410454,0.617661807918921,"random search",-0.516308660775058,-0.00457521415320805,-0.370678562334156,-0.0001015590267055,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
4,0.603057285305113,1128,TRUE,0.110117651149631,0.432791320141405,"random search",0.148820135520223,0.209803705244281,0.280242319689922,0.394311942511614,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
5,0.221936114365235,1450,FALSE,0.719886361015961,0.366891232784837,"random search",0.412555787967447,0.343447303329318,0.481653021577849,0.529655820334311,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
6,0.960663731442764,1533,TRUE,0.972474316973239,0.845579709624872,"random search",0.287124726531328,0.279129752352964,0.392414876716881,0.484145056006821,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
7,0.133028163807467,1678,FALSE,0.567973007564433,0.365879161981866,"random search",0.39794934773266,0.349854658463414,0.462821002705886,0.533715797250241,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
8,0.971722643589601,1944,FALSE,0.16806277288124,0.0601101140491664,"random search",0.26319975918901,0.28083888144839,0.36236590699813,0.467419306398831,0.403508771929825,0.00595238095238095,0.00100644842614722,2.47826086956522,69,3,9,168,171,60,0.234797810750582,0.160971547406686,0.532759367554689,0.12168917882965,0.421052631578947,0.0843870507479141,0.0761773071714418,0.0128902208938239,0.0107745400727103,0.0208897488352476,0.128120135115415,0.155688016126952,0.169902866528033,0.072500308179497,0.0356085302173553,0.0875890043961137,0.00257416514592381,0.0178271471656543,0.631578947368421,0.0116959064327485,0.0185185185185185
