"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.115942028985507,500,TRUE,1,0.313736781537652,"default",0.651122188288924,0.57201792834085,0.731292722318988,0.575984551089089,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
1,0.260869565217391,983,FALSE,0.703,0,"optimal default",0.639449588027652,0.521926735158374,0.743731123009398,0.581328208267438,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
1,0.999137602047995,1704,TRUE,0.27890269337222,0.828862159745768,"random search",-0.553758173291643,-0.00991222055339525,-0.358626446400514,-0.00206511316813662,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
2,0.103165662148967,163,TRUE,0.895685592712834,0.285540125565603,"random search",0.626569903578721,0.541168867028369,0.719104031043285,0.56827829171021,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
3,0.244969584047794,1029,FALSE,0.212715117563494,0.184246281394735,"random search",0.57462965704,0.561236505468618,0.675780104109744,0.604580266016528,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
4,0.647366533754393,1120,FALSE,0.115623115445487,0.757965804543346,"random search",-0.579287787199435,-0.0147428539945347,-0.49411098169411,-0.00180740738263552,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
5,0.567854936001822,1918,FALSE,0.413427426596172,0.440732837887481,"random search",0.619402989124516,0.564530225693111,0.736110632163679,0.593314032940667,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
6,0.296752148773521,1608,FALSE,0.774112680624239,0.261967945843935,"random search",0.669603217458022,0.573065660691575,0.747850395677143,0.582406531779519,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
7,0.583348022773862,1722,TRUE,0.272142102778889,0.642944416729733,"random search",0.526792703588365,0.535286386059041,0.680201057068128,0.601918044855559,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
8,0.208267346024513,1437,FALSE,0.483527175034396,0.392442806158215,"random search",0.640230688567165,0.585343677818332,0.729105693557091,0.593045367097084,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.526184814466626,0.12590998696125,0.313609467455621,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.162422698529761,0.0743927652236768,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.633136094674556,0.0118343195266272,0.0186915887850467
