"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.0989010989010989,500,TRUE,1,0.255583606805001,"default",0.687094159085829,0.691629938155801,0.726232092073052,0.740228903613391,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
1,0.252747252747253,983,FALSE,0.703,0,"optimal default",0.709782866922924,0.697954872741998,0.768825500239962,0.769572124957751,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
1,0.374019904294983,1842,FALSE,0.993427658360451,0.244502244982868,"random search",0.745185235316623,0.715648789273459,0.810349191631308,0.789109067577008,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
2,0.893973238067701,1614,TRUE,0.578880058811046,0.967615585308522,"random search",-0.504615596702662,-0.00427920989370256,-0.410513036051259,-0.00217785303078122,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
3,0.567767797736451,1409,FALSE,0.712060890696012,0.113738003652543,"random search",0.73757099904887,0.706646021858583,0.776836530459157,0.774995087148465,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
4,0.785333588486537,124,TRUE,0.215871218219399,0.370703230146319,"random search",0.626326206655843,0.628574880044549,0.67370589829634,0.711553417339816,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
5,0.69250375777483,943,FALSE,0.946608641371131,0.294687586836517,"random search",0.742106646591565,0.683381178942162,0.797899539867359,0.777482758661118,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
6,0.602156195323914,1972,FALSE,0.910121843032539,0.619864742038772,"random search",0.674441021501757,0.646998572710404,0.715565399755032,0.718475648829993,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
7,0.226147210458294,1094,TRUE,0.990620533842593,0.344383667223155,"random search",0.698920432851435,0.699417769156538,0.749480402100942,0.758491696188203,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
8,0.708562357351184,247,FALSE,0.984104192955419,0.0858853806275874,"random search",0.748096890694236,0.68262668874163,0.804710194070765,0.783116650838233,0.167587476979742,0.015625,0.0112237083879013,5.96703296703297,91,2,4,64,543,87,0.217077780654843,0.137323959996962,0.625410753620048,0.211437700759635,0.451197053406998,0.0737816396152286,0.0606649617946345,0.0091171903324019,0.00703013371224481,0.0112894572610474,0.105844367267202,0.101153373630929,0.134565460769186,0.0646965207331874,0.0184444837408477,0.0379426732384905,0.00346693878518286,0.0177789240142163,0.187845303867403,0.00184162062615101,0.00980392156862745
