"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.285806674440779,"default",0.664009660366544,0.691255231805819,0.609497383959687,0.672515110068935,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
1,0.26,983,FALSE,0.703,0,"optimal default",0.705628407626055,0.720449352021417,0.643126910893146,0.686320374852149,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
1,0.975449667079374,539,TRUE,0.822403142391704,0.199029264040291,"random search",0.725188685531,0.694831613013305,0.68205516023636,0.676904511185712,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
2,0.455836704932153,1977,TRUE,0.79530846059788,0.0219088378362358,"random search",0.703636070054104,0.702432178822808,0.640082352633542,0.681123746243314,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
3,0.458493791054934,754,FALSE,0.576445085555315,0.315366717986763,"random search",0.709286204867458,0.715923731269563,0.641920644455237,0.673319217076145,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
4,0.896256332518533,655,FALSE,0.770670852414332,0.954155392479151,"random search",-0.53828682065324,-0.00802562046593391,-0.547774627770151,-0.0950101727068744,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
5,0.970888205803931,724,TRUE,0.996767646027729,0.813240271760151,"random search",0.615618635837035,0.571637682887411,0.557167989962345,0.517328345336431,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
6,0.847120989114046,257,TRUE,0.620921728992835,0.783810089575127,"random search",0.55887115656273,0.554042296765139,0.490483689216532,0.466018857474584,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
7,0.358842218061909,922,FALSE,0.55221712004859,0.45874042622745,"random search",0.670620211577994,0.681504012660672,0.616682359079086,0.662151115363114,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
8,0.822639568708837,13,TRUE,0.528095037885942,0.881454552989453,"random search",-0.484186637546867,-0.00841681486910972,0.307263368787658,0.19996314280634,0.3584229390681,0.0172413793103448,0.0107727264408215,2.79,100,2,4,58,279,96,0.214490239539763,0.143453388882325,0.585590070357095,0.164001098435023,0.663082437275986,0.067510181593268,0.058989216882949,0.00802488018489537,0.00554945821335115,0.010156791508671,0.124189173251563,0.118459956884356,0.152755098440511,0.0614098279040605,0.0242881870696107,0.0480587222050358,0.00634392446430501,0.0411462658751508,0.387096774193548,0.003584229390681,0.00925925925925926
