"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.0989010989010989,500,TRUE,1,0.256959216859405,"default",0.728514015148074,0.76630744076695,0.710389567406664,0.761252669769241,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
1,0.252747252747253,983,FALSE,0.703,0,"optimal default",0.771741243268152,0.788281898917016,0.741693753232019,0.772412780143052,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
1,0.707460570847616,1093,TRUE,0.302358156279661,0.0735211141873151,"random search",0.700124217387511,0.74292663349535,0.693621551449463,0.755753473634259,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
2,0.258395008742809,170,FALSE,0.757546125818044,0.667154033202678,"random search",0.633862987574987,0.670623428457169,0.630680459644848,0.696731019107314,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
3,0.710628227563575,179,FALSE,0.805896593001671,0.779623379698023,"random search",0.537936908617545,0.535121273372656,0.583066781529109,0.60519888679474,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
4,0.978823263198137,153,FALSE,0.837085368460976,0.941419757436961,"random search",0.35837732709609,0.354651152801716,0.419954786390177,0.444305863505087,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
5,0.231136518996209,1609,FALSE,0.717622820520774,0.296231591841206,"random search",0.761853068965179,0.78178523477723,0.735077455984523,0.768312545504349,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
6,0.624030383536592,1647,TRUE,0.411934779165313,0.527177091687918,"random search",0.663604025983296,0.702060415229589,0.668031417125751,0.734601759374953,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
7,0.147512432187796,805,FALSE,0.128730393224396,0.970153473550454,"random search",-0.484221356196817,-0.0035427727645847,-0.434548651696866,-0.00214527341432746,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
8,0.540936140576378,463,TRUE,0.468708453024738,0.726164092775434,"random search",0.508251398680924,0.53072106506512,0.557078613701832,0.645670778374951,0.173333333333333,0.00205338809034908,0.000605027677933234,5.76923076923077,91,2,4,487,525,87,0.236137303203337,0.168132949656665,0.637478991596639,0.18884338572927,0.443809523809524,0.0644419370795884,0.0590066517963245,0.00762791623943714,0.00603894299186743,0.0129374784067291,0.0931084362782155,0.0896724253525551,0.154628467621076,0.0639134238241523,0.0140913400250352,0.0313113363474125,0.00340731882055132,0.0167388699949711,0.194285714285714,0.0019047619047619,0.00980392156862745
