"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.285989031585429,"default",0.671950665383133,0.710484085144655,0.70365871860233,0.765190674036133,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
1,0.26,983,FALSE,0.703,0,"optimal default",0.72931671804734,0.745243526394907,0.752077594794374,0.795671863638572,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
1,0.985113532748073,1439,FALSE,0.40640258518979,0.87913696328178,"random search",-0.520167332191619,-0.00601436567224822,-0.221881512818399,-0.00477834156437362,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
2,0.735256186919287,1253,FALSE,0.420203516376205,0.0568695282563567,"random search",0.6902478375479,0.700101060559349,0.723471487947917,0.775139314957977,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
3,0.118632854893804,1299,TRUE,0.7129832273582,0.152196465525776,"random search",0.669614033228693,0.709234131956129,0.700485069698579,0.76679982277638,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
4,0.643412647536024,857,TRUE,0.589131549256854,0.603952266275883,"random search",0.652216644250361,0.669351125598064,0.665736043387057,0.73267004537293,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
5,0.113677889108658,955,FALSE,0.526704644854181,0.0500130669679493,"random search",0.670965917021126,0.706311057921621,0.705987006407699,0.771843073159209,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
6,0.919174169190228,1007,TRUE,0.910100251878612,0.260306696407497,"random search",0.712692827997365,0.697521894061577,0.750398475718581,0.789998408909588,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
7,0.853401833679527,1312,FALSE,0.833194318646565,0.0556247038766742,"random search",0.724052354328612,0.685881836800207,0.787630365409839,0.806022110724058,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
8,0.218083046609536,410,TRUE,0.12636800641194,0.826058086473495,"random search",-0.498381118102369,-0.00400267588986747,-0.376864297952485,-0.00510919875698179,0.359712230215827,0.00366300366300366,0.000483216580512113,2.78,100,2,4,273,278,96,0.228113246259792,0.165777987498312,0.616592964160781,0.182797825983457,0.5,0.0572904948769805,0.0509970752064028,0.00587354744084386,0.00429804527731929,0.00872595225515556,0.117855169845794,0.105006002236121,0.15977249337304,0.0567110717489655,0.0212033423035915,0.0413206363402862,0.00348188835831731,0.021301245770447,0.392086330935252,0.00359712230215827,0.00917431192660551
