"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.284379003427627,"default",0.204367821273108,0.175373552826293,0.234522352097231,0.169825964298806,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
1,0.26,983,FALSE,0.703,0,"optimal default",0.224443181583248,0.138873201705528,0.251916745168399,0.0595017504157423,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
1,0.0926648369058967,1094,TRUE,0.71940949736163,0.361499097663909,"random search",0.175115836517871,0.173384244317267,0.177193976619085,0.132470570369278,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
2,0.594491292955354,1512,FALSE,0.320312890876085,0.855837700655684,"random search",-0.574426496756856,-0.0129978555310832,-0.471941929270076,-0.209047046595553,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
3,0.824962965212762,1859,TRUE,0.585167367127724,0.58708137832582,"random search",0.215821067590005,0.189333165149338,0.16535975264475,-0.0385129315972113,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
4,0.795825077919289,1196,FALSE,0.719851993117481,0.188984597334638,"random search",0.288681494586198,-0.134283183819814,0.295686671536031,0.0409415167205928,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
5,0.752877339255065,1381,FALSE,0.897308295220137,0.498498481465504,"random search",0.251368683591558,-0.158450584749738,0.291197297102161,-0.00545383324612581,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
6,0.103566706646234,72,TRUE,0.966664101136848,0.478765982436016,"random search",0.203354034536552,0.205751883776854,0.174622988063038,0.146958677000625,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
7,0.279064799426123,236,TRUE,0.332512173848227,0.398128236876801,"random search",0.167556734028338,0.20284494107524,0.133037607719289,0.0466726449669641,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
8,0.277373462216929,1449,FALSE,0.937750308099203,0.673918252578005,"random search",0.249587513168448,0.214696850214144,0.210978198128249,0.014311100219906,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
9,0.275305857649073,1624,FALSE,0.657784596085548,0.884989343583584,"random search",0.0363025134435284,0.101315436634823,-0.0183988101089738,-0.0754569924401369,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
10,0.98250263906084,45,FALSE,0.196489228028804,0.21417265641503,"random search",0.122669329215924,0.160181615397337,-0.0348121931745289,-0.262776269899784,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
11,0.316914318595082,185,FALSE,0.390657783369534,0.918726322939619,"random search",-0.506801043430609,-0.00573056333486943,-0.566269501104555,-0.220192304913176,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
12,0.976416192017496,695,FALSE,0.820691152079962,0.506772764725611,"random search",0.144920277131574,-0.885551541447541,0.283935858075961,0.00155885473048789,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
