"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.283513777150422,"default",0.347390781902299,0.345488033165679,0.114619447658169,0.198017924268858,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
1,0.26,983,FALSE,0.703,0,"optimal default",0.389836562255884,0.372855811280494,0.183428277559846,0.25243402593441,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
1,0.290853666607291,1650,TRUE,0.561165371444076,0.18351683113724,"random search",0.342325045761575,0.363114078705915,0.129869554848572,0.228826806948238,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
2,0.278407263103873,849,TRUE,0.686992855858989,0.274835844989866,"random search",0.35370734585177,0.369322855391025,0.13573876474251,0.222143555591681,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
3,0.953816099558026,484,TRUE,0.516133904899471,0.219259010395035,"random search",0.316776047487179,0.318607973852169,0.109542617098579,0.196094977101961,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
4,0.738100513350219,651,FALSE,0.627821470494382,0.473356057424098,"random search",0.350052522706822,0.328096036409565,0.178567025001077,0.25922262550201,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
5,0.861474207835272,948,FALSE,0.835877698822878,0.650223341537639,"random search",0.335552746089539,0.30344007035669,0.182732401200029,0.21560733064525,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
6,0.928244643844664,430,TRUE,0.815114938863553,0.951687756227329,"random search",-0.541704517779516,-0.00866226275622073,-0.118976362154884,-0.00129333836252887,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
7,0.274846575688571,616,FALSE,0.823251917795278,0.376401309855282,"random search",0.400405740030441,0.371982871804743,0.210203627891632,0.288753819029741,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
8,0.950605484191328,531,FALSE,0.101925437361933,0.314832284813747,"random search",0.196793774206032,0.268432437267592,-0.0542749301468413,0.0614543730709922,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.619165398274987,0.15054284398259,0.558219178082192,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.168129426167352,0.0599823259268828,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.36986301369863,0.00342465753424658,0.00925925925925926
