"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.284379003427627,"default",0.784029497513977,0.782954365163605,0.666016789744863,0.82141393214581,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
1,0.26,983,FALSE,0.703,0,"optimal default",0.82846811635802,0.796520977522031,0.712408902378895,0.846661659595012,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
1,0.035891892388463,3,FALSE,0.857189451018348,0.510699307313189,"random search",0.708992775858637,0.621284394428158,0.600031945583963,0.689643010849557,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
2,0.935078768292442,1369,TRUE,0.336687031551264,0.159470599377528,"random search",0.796003075798351,0.766368205565217,0.681196986572248,0.805913144203408,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
3,0.559580282308161,1905,TRUE,0.973627112386748,0.840435584774241,"random search",0.683223406242306,0.64701522990877,0.51153224835017,0.547467293322774,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
4,0.00532182911410928,39,FALSE,0.546141275204718,0.350366964004934,"random search",0.554321184186541,0.624854116583097,0.478034944893888,0.645626090770539,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
5,0.579071341082454,981,FALSE,0.767425767588429,0.659191901795566,"random search",0.779567047782724,0.733214746496674,0.677351076905257,0.788205521822825,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
6,0.741664042696357,851,FALSE,0.926204940350726,0.13635117537342,"random search",0.857975286630789,0.785459183295804,0.74254860411256,0.857645979579602,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
7,0.344435905106366,878,TRUE,0.758058771397918,0.862268184078857,"random search",0.641970955805698,0.630505478563476,0.485377475498726,0.541268986982032,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
8,0.470098174642771,1221,TRUE,0.157922463980503,0.697488670237362,"random search",-0.527975351646083,-0.00793943115144957,-0.291096187739066,-0.000755268774044859,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
9,0.598090502433479,907,FALSE,0.630845632450655,0.915285332128406,"random search",-0.550686095922034,-0.00977598263349533,0.476917292210561,0.519460570271378,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
10,0.0380141369532794,205,FALSE,0.787974820868112,0.83408156898804,"random search",0.510046367311034,0.575568275760547,0.390559756252321,0.488617523881008,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
11,0.328590738587081,1140,FALSE,0.739822577522136,0.655560786370188,"random search",0.760888993745772,0.741586447092661,0.647729088911391,0.774783222039812,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
12,0.136937979608774,2,FALSE,0.900291902176104,0.428381016012281,"random search",0.758582966130909,0.620856124034787,0.586952388684147,0.63290917773161,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
13,0.974774159258232,1355,TRUE,0.217571843299083,0.4891088581644,"random search",0.703387118433301,0.690040206772755,0.577923406637005,0.667498323226589,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
14,0.928773330990225,12,FALSE,0.611505224881694,0.640314068645239,"random search",0.737521023759162,0.667896453546827,0.632164431929223,0.715770077784948,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
15,0.183156677521765,1968,FALSE,0.229568201233633,0.639571155188605,"random search",0.615136307475994,0.636886579774558,0.469066344807154,0.549831471112789,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
16,0.644727541832253,391,TRUE,0.993730395729653,0.968697721837088,"random search",0.602838350315474,0.588020447423069,0.478566469941135,0.529195280608933,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
17,0.675036934670061,802,FALSE,0.265131876268424,0.224713047267869,"random search",0.785691570460128,0.763381370795025,0.672830421742638,0.795173286792734,0.348432055749129,0.00625,0.00410036044151709,2.87,100,3,4,160,287,96,0.321645423814656,0.218367200034401,0.544129399354282,0.224975647763179,0.104529616724739,0.02840336645695,0.0255222810283726,0.00145586841446023,0.00103178767196018,0.00324924255531854,0.05677741947172,0.0827967236671355,0.150103767088078,0.0511959869824664,0.00889027080596145,0.0574816400522109,0.00108925587299113,0.010729638814046,0.379790940766551,0.00348432055749129,0.00917431192660551
