"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.284204334125154,"default",0.458218650752288,0.394419465234907,0.592044059151702,0.560545593261115,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
1,0.26,983,FALSE,0.703,0,"optimal default",0.515098452348462,0.440271540253497,0.596929704938614,0.487792661367363,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
1,0.330637797014788,1438,TRUE,0.234371601091698,0.562699099536985,"random search",0.367768481917825,0.336152154312996,0.495166889801339,0.471259640116463,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
2,0.292743355967104,35,FALSE,0.593240579264238,0.136366569902748,"random search",0.488999822266539,0.4007265679447,0.636398486126717,0.562540338836202,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
3,0.842706185299903,943,TRUE,0.853901985194534,0.438666243571788,"random search",0.515732243025542,0.410049820016708,0.617011998685697,0.546367851031395,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
4,0.547262071166188,750,TRUE,0.36526635249611,0.662978432374075,"random search",0.384121131870646,0.341124804074104,0.489640048002307,0.448912692406582,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
5,0.391741554252803,1048,TRUE,0.493582043633796,0.86854129191488,"random search",-0.501332965307514,-0.00454062536897948,0.376367573111817,0.334961026183032,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
6,0.915640663122758,1119,TRUE,0.119506555539556,0.0103507076855749,"random search",0.373830068871115,0.340081421546727,0.522591578260965,0.496138649220341,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
7,0.348519440973178,770,FALSE,0.792224824009463,0.437056406168267,"random search",0.522032818746215,0.377688777979799,0.586310848236498,0.419807013619286,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
8,0.0515162930823863,1494,TRUE,0.122662163968198,0.137102698907256,"random search",0.311821916940295,0.307873400910392,0.460886604860614,0.483527767797548,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
