"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.283173277813907,"default",0.417186153144602,0.398765381402103,0.408691767578177,0.40197167866797,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
1,0.26,983,FALSE,0.703,0,"optimal default",0.452838112700104,0.423678410819658,0.44441722858183,0.423242980939591,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
1,0.353159482590854,895,FALSE,0.500621886970475,0.575368975056335,"random search",0.387474700978393,0.397380106644073,0.352180328701166,0.331625572189177,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
2,0.877471756190062,427,FALSE,0.513698484259658,0.720388693036512,"random search",0.297847688083166,0.322560906298649,0.268460545413233,0.237717360916853,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
3,0.519637505989522,852,TRUE,0.927020860579796,0.367095498833805,"random search",0.436816522420852,0.408978278947266,0.425480304594236,0.40348264288693,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
4,0.0512558163609356,993,TRUE,0.311664220853709,0.728874020045623,"random search",0.125359687448805,0.214774521434597,0.0740028088450949,0.138331616046322,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
5,0.102260192157701,846,TRUE,0.919529783562757,0.190761813195422,"random search",0.404858332609093,0.384118195023338,0.41530405739314,0.408936160546117,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
6,0.288328140974045,711,FALSE,0.348950935644098,0.175804421771318,"random search",0.399022746162607,0.40053324944073,0.371506710797635,0.362895827040919,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
7,0.302996468031779,1057,TRUE,0.616029504849575,0.732176585122943,"random search",0.298469663288475,0.335168319077976,0.26886103930459,0.257796823322169,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
8,0.861840336117893,94,TRUE,0.729288733028807,0.711914591258392,"random search",0.363328833208637,0.372940301582602,0.331169763827971,0.291542720256017,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
