"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.1,500,TRUE,1,0.285086006761658,"default",0.163311351598989,0.149177807268234,-0.0431339324682563,0.0311516509874493,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
1,0.26,983,FALSE,0.703,0,"optimal default",0.160538911690326,0.105833891575821,-0.0220646504101372,0.039701332733043,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
1,0.316820002160966,1233,FALSE,0.194565368141048,0.820470675593242,"random search",-0.50017733735695,-0.00361969556435771,-0.288237094926199,1.87507048319269e-05,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
2,0.591563787544146,1371,TRUE,0.810054769041017,0.350093509070575,"random search",0.164234460049437,0.128926817214282,0.00535520144938695,0.068622426622998,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
3,0.173894522711635,1410,TRUE,0.600970742525533,0.932209288701415,"random search",-0.539468288517402,-0.00828625385999526,-0.42909205314919,1.00388421748754e-05,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
4,0.972502874676138,1648,TRUE,0.212801338010468,0.970293880440295,"random search",-0.513858493012571,-0.00577426831088523,-0.557878133270119,-1.23718893361158e-05,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
5,0.0766375283710659,1640,FALSE,0.911703189858235,0.812765365000814,"random search",0.0131860546713248,0.0697534867133722,-0.0696637853266644,0.0576025887742817,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
6,0.511877723503858,973,TRUE,0.586357171367854,0.753589439904317,"random search",0.0900909976910096,0.134283794482324,-0.0176308277927617,0.0708848419738763,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
7,0.0353970425203443,423,TRUE,0.860850460967049,0.999845035606995,"random search",-0.511872227739679,-0.00532489523143287,-0.268700364145837,-1.53593291634113e-05,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
8,0.49609453859739,1135,FALSE,0.284502016752958,0.404516368871555,"random search",0.116990765768903,0.152151385788076,-0.00419649969318936,0.0686456876142953,0.353356890459364,0.00806451612903226,0.00588457654349103,2.83,100,5,4,124,283,96,0.0940128764214303,0.0918146674618978,0.619552414605418,0.154545063063095,0.137809187279152,0.0469648073951763,0.0486951010518334,0.00456852715606322,0.00320354520424789,0.00624353963263271,0.0772697436882635,0.0868620982714356,0.166862999992977,0.0583084261576593,0.0139303628960446,0.0400739804452528,0.000579156346447845,0.00288901993662448,0.381625441696113,0.00353356890459364,0.00925925925925926
