"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.0989010989010989,500,TRUE,1,0.256725665008068,"default",0.0288476182868797,0.125648057891924,-0.196195054203072,-0.0720362794068994,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
1,0.252747252747253,983,FALSE,0.703,0,"optimal default",0.0401217545026973,0.0155743023290167,-0.255973646471656,-0.20122551253661,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
1,0.93274427135475,1987,FALSE,0.626639991160482,0.885922688758001,"random search",0.21698289550638,0.17483026798418,-0.191272442748965,-0.29378224078254,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
2,0.0884498187806457,966,FALSE,0.799940338009037,0.464104903396219,"random search",-0.0911807911255802,0.0349946176099432,-0.187353204097475,-0.0682938028556259,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
3,0.219031798653305,701,FALSE,0.518487298558466,0.727277309866622,"random search",-0.0313810925036813,0.0648026877186325,-0.221011582088386,-0.070741247471199,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
4,0.545262209139764,280,TRUE,0.111085691396147,0.778357097646222,"random search",-0.453518502094081,-0.0031034641640606,-0.481463176176152,-0.00356310278569483,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
5,0.510432203300297,1341,FALSE,0.623393938224763,0.253424373921007,"random search",0.0671484910176973,0.0212096732336603,-0.23271406591669,-0.288829966756921,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
6,0.911160960560665,1339,FALSE,0.827434156392701,0.553653153125197,"random search",0.104588260560879,0.0156254561047989,-0.140842019341083,-0.396962907718302,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
7,0.99748192098923,1822,FALSE,0.620981570123695,0.739970398833975,"random search",0.0621677869902379,-0.0128871169824647,-0.19617355144203,-0.29999529610445,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
8,0.864102803403512,1871,TRUE,0.542952707665972,0.553524291375652,"random search",0.0314092988372836,0.0322828537359583,-0.232720474511869,-0.229221593737965,0.172348484848485,0.0833333333333333,0.273206315203365,5.8021978021978,91,2,4,12,528,87,0.113826962712703,0.0701331810688505,0.493204099821747,0.22236732743909,0.00757575757575758,0.0255990232211563,0.052863573371958,0.0034445746572008,0.00284700485292658,0.0253473012912867,0.0127556398903647,0.076372845748683,0.103388732332296,0.0544037676057743,0.00554022737664713,0.0541616042528868,0.000792823055543726,0.0166346173795749,0.193181818181818,0.00189393939393939,0.00980392156862745
