"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.25791134115964,"default",0.558192282440358,0.591234625792107,0.606632342471331,0.597415670862859,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
1,0.25,983,FALSE,0.703,0,"optimal default",0.58049460892342,0.585201329468294,0.653410020941278,0.623124578118945,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
1,0.810214231256396,557,FALSE,0.687983073154464,0.0977797631639987,"random search",0.612133244603978,0.591353950548014,0.678767692828875,0.625418388193908,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
2,0.626804620958865,525,TRUE,0.955963831022382,0.650773524073884,"random search",0.502782508426292,0.499017655292585,0.555791047708795,0.511187233550861,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
3,0.659386366838589,131,TRUE,0.521815550723113,0.420298857847229,"random search",0.523222708941268,0.528650848180736,0.585316054694842,0.552935941620465,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
4,0.827302308985963,1975,FALSE,0.437395953550003,0.3190833828412,"random search",0.5510997944862,0.552309548157285,0.608302471580055,0.5616722859012,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
5,0.107967237243429,901,TRUE,0.277906814939342,0.233763528754935,"random search",0.449271977226323,0.496001929090675,0.468959530753343,0.481099179718176,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
6,0.680580762913451,922,FALSE,0.250995234353468,0.804924907395616,"random search",-0.54421940491539,-0.00949060140434033,-0.411771111008016,-0.000131529171546019,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
7,0.11646312684752,388,TRUE,0.203741074004211,0.233866155147552,"random search",0.417608499522297,0.455555919790515,0.44060895864031,0.446777167390482,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
8,0.57201489363797,1437,TRUE,0.848461434128694,0.480817160336301,"random search",0.55388902777891,0.539856624460387,0.607813118590514,0.570579903534447,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.56074458446586,0.116979457825676,0.378167641325536,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.198426369509537,0.06416907380971,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.138401559454191,0.00389863547758285,0.028169014084507
