"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.133333333333333,500,TRUE,1,0.267519260170856,"default",0.555589879211124,0.590971150755062,0.599634329261547,0.66871337853586,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
1,0.266666666666667,983,FALSE,0.703,0,"optimal default",0.588702738199896,0.586375383928352,0.62971974260164,0.686129981405162,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
1,0.783878166228533,317,TRUE,0.549170340574347,0.712923045270145,"random search",0.372644320195371,0.373968854188536,0.451128215698637,0.475572622613432,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
2,0.0614866481628269,1351,TRUE,0.842510771541856,0.305865847505629,"random search",0.492368801471363,0.536670942746958,0.549875578811791,0.626864442740376,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
3,0.00387340039014816,1368,FALSE,0.664185994467698,0.00534765585325658,"random search",0.416858266823064,0.478190491796442,0.490145201268599,0.572916608750848,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
4,0.417201763717458,1905,FALSE,0.860406909510493,0.858704468701035,"random search",0.299195023782554,0.327164234169186,0.351521175301828,0.376881350182345,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
5,0.90132914762944,401,TRUE,0.435924164485186,0.0678347232751548,"random search",0.539163032147514,0.552031100579957,0.577282507006724,0.631301771442144,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
6,0.798305993666872,815,TRUE,0.475517230760306,0.105333262355998,"random search",0.533300008035213,0.537914687666013,0.583707538132736,0.64035649421273,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
7,0.0666674564126879,775,FALSE,0.269059063610621,0.599016706226394,"random search",0.275767132475061,0.334111476157426,0.332333034940127,0.399423284649147,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
8,0.547753162449226,1299,TRUE,0.766959949187003,0.19566101511009,"random search",0.577175962436298,0.568266012243223,0.614680873041669,0.669146053292646,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.138850943897194,0.115665478899299,0.557449309432853,0.103559810922369,0.412195121951219,0.0892492823704993,0.0697613532610815,0.0128202109431767,0.0104947415158466,0.0157150414567551,0.112172518919032,0.118541623275102,0.192169344159803,0.0570886630010255,0.0213581390183466,0.0498291897421631,0.001427745186539,0.0104836890426285,0.202439024390244,0.0048780487804878,0.0240963855421687
