"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.257037459055353,"default",0.798217873156664,0.857885773968302,0.817812541538509,0.893769420485538,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
1,0.25,983,FALSE,0.703,0,"optimal default",0.838664750944086,0.875429424605682,0.866633388409358,0.909806979744517,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
1,0.123666924890131,1122,TRUE,0.174744498147629,0.787858217023313,"random search",-0.475770166117781,-0.00240768014319026,-0.516901327987598,-0.0123446844117547,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
2,0.910599279217422,738,TRUE,0.652741124480963,0.618512711953372,"random search",0.800917190929389,0.829268088176791,0.813847752691275,0.855249420405689,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
3,0.33155577396974,559,TRUE,0.724744252255186,0.531409600982442,"random search",0.792702948561046,0.848942731425906,0.804792713450592,0.879352953752703,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
4,0.639171915128827,1710,FALSE,0.9486855288269,0.0662672682665288,"random search",0.88455671985064,0.872660222587208,0.919514485910178,0.911908247917146,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
5,0.106667678337544,1739,TRUE,0.95385528113693,0.596093965927139,"random search",0.719630761007652,0.806256637804959,0.731314256047568,0.842812469901674,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
6,0.286151725333184,1579,TRUE,0.365945992199704,0.39456627308391,"random search",0.755635583544724,0.818989301982885,0.766583382251517,0.859404294178497,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
7,0.414306092541665,724,FALSE,0.977688076999038,0.0679686388466507,"random search",0.881798020082569,0.888820725239564,0.907405294495693,0.915642159285656,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
8,0.461645160801709,998,FALSE,0.429598199250177,0.699602788081393,"random search",0.664528853134447,0.72008866520919,0.674124716294927,0.748682045232074,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
9,0.602124748751521,1343,FALSE,0.910989749291912,0.682105396874249,"random search",0.802678965592059,0.823890050083012,0.825075420533186,0.847196597867118,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
10,0.825641479808837,206,TRUE,0.93046507909894,0.999478453071788,"random search",-0.488836345506305,-0.00331517788394731,-0.443776957656988,-0.0122839493441584,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
11,0.303502151276916,1639,TRUE,0.172432500403374,0.271766955731437,"random search",0.699838701315259,0.772178460558069,0.705350052401875,0.808320984304597,0.083969465648855,0.0022271714922049,0.000876358149008907,11.9090909090909,44,0,4,449,524,40,0.192600974033006,0.158093093604634,0.528705470737914,0.125828472101776,0.402671755725191,0.0461223635227784,0.0439478748663799,0.00405500221436382,0.00281141796978072,0.00681179251579813,0.0604385058895534,0.0749039188884973,0.170090839008432,0.0670919540376205,0.00708162846133967,0.0246490505659232,0.000246608831517707,0.00152808412715041,0.137404580152672,0.00381679389312977,0.0277777777777778
