"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.133333333333333,500,TRUE,1,0.267627892354841,"default",0.789330170345585,0.845299217711993,0.827684882246348,0.904326597332025,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
1,0.266666666666667,983,FALSE,0.703,0,"optimal default",0.834991372521672,0.869129145367305,0.869392429434707,0.915906364594077,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
1,0.11663010972552,1728,TRUE,0.514031669939868,0.296806013677269,"random search",0.737943482589858,0.813816348011324,0.79205690705021,0.888775718022654,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
2,0.873334664851427,1192,FALSE,0.889891526498832,0.88342181337066,"random search",0.499548663655973,0.483704301067634,0.539906150111734,0.585511330977634,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
3,0.131810933118686,1817,TRUE,0.400342762772925,0.729718390386552,"random search",0.450638344588535,0.533299738527921,0.524068040774748,0.656262462738793,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
4,0.0283338355366141,789,FALSE,0.293001269293018,0.930795414606109,"random search",-0.527620931837239,-0.00654426877210246,-0.385302531809253,-0.000114161729652285,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
5,0.618857464054599,873,FALSE,0.241934415046126,0.673180858138949,"random search",0.502202798465055,0.561467255282365,0.5438227388735,0.640053459602262,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
6,0.0986519635189325,759,TRUE,0.213860728219152,0.306781573453918,"random search",0.627352047629482,0.724531687284443,0.690444205419411,0.826517176527044,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
7,0.0588898982387036,1227,FALSE,0.173338890704326,0.501876542344689,"random search",0.473720362367062,0.584198504046823,0.551712032214232,0.703122382148751,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
8,0.453403468010947,1950,TRUE,0.413409380358644,0.963329856283963,"random search",-0.535571241567662,-0.0074216306689241,-0.483591138914473,-8.41740441872574e-05,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
9,0.519468684913591,473,TRUE,0.528491274337284,0.999967439100146,"random search",-0.477100097450862,-0.00194707823216089,-0.458627122985384,-0.000130293509332802,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
10,0.708145395386964,464,TRUE,0.218849155656062,0.56226886366494,"random search",0.640573596369024,0.709037754034341,0.711197980229873,0.820883762721509,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
11,0.262298345798627,1848,TRUE,0.102926017623395,0.525827432516962,"random search",0.439811320078777,0.515290040114863,0.516914842657214,0.628352014943617,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
12,0.0595016332808882,597,TRUE,0.281017987127416,0.857737212674692,"random search",-0.526926311125313,-0.00695459262717746,-0.344767748753229,-3.0816099032327e-05,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
13,0.754216127330437,1953,FALSE,0.663608449487947,0.953287965152413,"random search",-0.534220111731488,-0.0076961893620846,-0.338510007320064,-7.76181335480075e-05,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
14,0.75198850245215,275,FALSE,0.186980227730237,0.187583182705566,"random search",0.711371795335069,0.773764483594472,0.776483275373427,0.870204790398951,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
15,0.882216661702842,1315,TRUE,0.407249454548582,0.80267442855984,"random search",0.395387761984299,0.448227379704892,0.512343919351137,0.595089400938322,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
16,0.271945583401248,191,TRUE,0.54777438887395,0.554874234832823,"random search",0.728518285397585,0.804839028824407,0.777419955899964,0.880870088927525,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
17,0.842055544257164,1624,TRUE,0.402939545945264,0.811129815410823,"random search",0.377134533258679,0.429238596570138,0.45915196694866,0.551486629367639,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
18,0.132979193236679,1968,TRUE,0.926063407515176,0.813067243667319,"random search",0.56071974107356,0.649846789378164,0.628590442103385,0.76397474019326,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
19,0.604154449189082,1346,TRUE,0.737975609442219,0.793198696570471,"random search",0.63804166994162,0.695941181155122,0.716731917905475,0.825005916332878,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
20,0.634511962998658,1120,FALSE,0.210940788313746,0.481660656165332,"random search",0.67986691843705,0.748756419772485,0.736995579646715,0.846103233063353,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
21,0.150271973572671,1770,FALSE,0.721150108100846,0.896003767615184,"random search",0.349084705250856,0.433041700490021,0.434871554267997,0.547715004462903,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
22,0.382038556737825,1612,FALSE,0.726691463286988,0.445772102335468,"random search",0.835077984198167,0.863288465398023,0.867959826157851,0.91468740572567,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
23,0.629475606605411,972,TRUE,0.355645993375219,0.556013645604253,"random search",0.708994941511959,0.771843508437502,0.759886498342638,0.862666070560345,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.532337874024916,0.108573320204487,0.334963325183374,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.170544327190217,0.0596126737403326,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.205378973105134,0.00488997555012225,0.0238095238095238
