"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.133333333333333,500,TRUE,1,0.267410980452649,"default",0.498718250684912,0.462337726399761,0.593935928871304,0.485069130446804,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
1,0.266666666666667,983,FALSE,0.703,0,"optimal default",0.524598979955201,0.453428681136738,0.615204165999177,0.448337833278991,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
1,0.625724675832316,658,FALSE,0.59613731848076,0.647867540596053,"random search",0.460733602676345,0.393014784046668,0.547066542057439,0.430571605450487,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
2,0.292686091037467,1965,TRUE,0.383360750763677,0.949628340313211,"random search",-0.521289138616974,-0.006232423566219,-0.39352624551107,-0.00961519974737746,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
3,0.644630105234683,1221,TRUE,0.318668267177418,0.301326760556549,"random search",0.437431038353544,0.396927217474775,0.532995949321109,0.422092205144057,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
4,0.659635811345652,825,FALSE,0.621060744533315,0.300152651499957,"random search",0.500235135095434,0.404912283425479,0.604541749876389,0.439101951236819,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
5,0.866479766089469,1317,TRUE,0.146705350419506,0.234679393470287,"random search",0.3715303156232,0.355554336144806,0.46042744624075,0.374949308132037,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
6,0.524301769444719,1309,TRUE,0.123434352874756,0.578379440587014,"random search",0.313824372349297,0.318031745069233,0.380884486080078,0.298961536588742,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
7,0.949830531841144,504,TRUE,0.442041412368417,0.929071182152256,"random search",-0.479961883973995,-0.0024491388660135,-0.354894101503765,-0.00909554469369978,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
8,0.423554013948888,182,FALSE,0.187663440848701,0.761627908796072,"random search",-0.487093821070449,-0.00404954510228461,-0.5204302469008,-0.00875785778033356,0.109489051094891,0.00256410256410256,0.00110248611438852,9.13333333333333,45,0,5,390,411,40,0.188789602469103,0.188920186226467,0.526864176327465,0.110434104772846,0.0924574209245742,0.0484133859509407,0.0685649598044485,0.00703357132201847,0.00482358894036584,0.0304774910345313,0.0544706755039963,0.113106423749427,0.177554087675221,0.054122613773707,0.013407222152555,0.0782868903226488,0.000344248814245514,0.00375543201050974,0.206812652068127,0.0048661800486618,0.0235294117647059
