"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.256725665008068,"default",0.471457834061813,0.412457245678667,0.707944781336999,0.439872662520643,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
1,0.25,983,FALSE,0.703,0,"optimal default",0.534306127574571,0.483697654405185,0.726102119151278,0.423801223002645,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
1,0.395677162567154,139,FALSE,0.819518817402422,0.373035222524777,"random search",0.531711779273267,0.452862596981777,0.708407009353964,0.398076551601589,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
2,0.892973654670641,1835,FALSE,0.784193495614454,0.04200304672122,"random search",0.507508085712251,0.334782119980849,0.697957071693644,0.301991058389799,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
3,0.22828214475885,287,FALSE,0.590872747986578,0.0927316737361252,"random search",0.522676285398829,0.475386210511487,0.723729549562273,0.436383012604389,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
4,0.88891974138096,747,TRUE,0.911362267052755,0.0144549186807126,"random search",0.51157354081136,0.411986131663479,0.700045750569886,0.338726176795958,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
5,0.5140787193086,705,TRUE,0.187248852010816,0.936428685439751,"random search",-0.505097193682932,-0.00534734553186711,-0.425926949328138,-0.0112715083447783,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
6,0.762802679091692,486,FALSE,0.292477285303175,0.922757056541741,"random search",-0.486858785693489,-0.00345930764808933,-0.431076669034039,-0.0104052889263744,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
7,0.170601216843352,1124,TRUE,0.717207314074039,0.604915955802426,"random search",0.415244202162754,0.407578637195894,0.638962028980592,0.450197364627351,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
8,0.425197239499539,434,FALSE,0.714203313319013,0.927692858735099,"random search",0.201531738410349,0.237866405617726,0.41442421768213,0.370122563832229,0.0833333333333333,0.00201612903225806,0.00199263700350407,12,44,0,4,496,528,40,0.1484362434307,0.120099620015055,0.531302609427609,0.0997463914132109,0.0890151515151515,0.0471349746557535,0.0605461744415804,0.00588060219796124,0.00439358774326962,0.023078188925392,0.0543181970038535,0.0858228321115874,0.189219093505244,0.0606030802054326,0.0095035546217578,0.040264775645783,0.000743879290805987,0.00810756804701293,0.136363636363636,0.00378787878787879,0.0277777777777778
