"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.256803320712097,"default",0.540294996893713,0.541514718113755,0.522791187404476,0.510718211574806,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
1,0.25,983,FALSE,0.703,0,"optimal default",0.577363859727312,0.553299593906728,0.547005689359746,0.494903608798639,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
1,0.112179935676977,1152,FALSE,0.936543501797132,0.464924901491031,"random search",0.535908689683479,0.528641634443774,0.518221719212299,0.500409371711433,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
2,0.835746713448316,1393,TRUE,0.786580813559704,0.30809254036285,"random search",0.559456793262261,0.527615908061665,0.534022470520526,0.491679611155696,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
3,0.75675798393786,1667,FALSE,0.289518908294849,0.346970884827897,"random search",0.486558946839265,0.464151820279068,0.487312154813629,0.479196775208254,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
4,0.241308183176443,611,FALSE,0.951833132957108,0.827735460596159,"random search",0.306370834207286,0.319200109422718,0.336481849439176,0.368516810953814,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
5,0.844324466306716,1755,FALSE,0.234049615520053,0.999868339160457,"random search",-0.504899671893589,-0.00474535808662258,-0.334679698084771,-0.00342339052844376,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
6,0.691304677398875,1550,FALSE,0.148743378324434,0.15462267328985,"random search",0.423165455250089,0.416074037636361,0.426894744709148,0.44164614996607,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
7,0.00872235000133514,1166,TRUE,0.563392658322118,0.707574573811144,"random search",0.179508518823596,0.255498650785678,0.203198571350707,0.293183374466803,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
8,0.906894900836051,1657,TRUE,0.740697042201646,0.332583514740691,"random search",0.551062555730513,0.517765892643582,0.526508286328367,0.488968112955423,0.0834914611005693,0.00210970464135021,0.00198780319964976,11.9772727272727,44,0,4,474,527,40,0.137924046733032,0.102505425391653,0.532785157073582,0.0892634762335556,0.571157495256167,0.124885585953047,0.102357191566336,0.0260535237988984,0.0218704106103595,0.0330064534507045,0.139906108370494,0.15431082148415,0.191263709129618,0.0602614329836265,0.0374165037530098,0.0829997301041042,0.00362915090691381,0.0263314805164349,0.136622390891841,0.00379506641366224,0.0277777777777778
