"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.256725665008068,"default",0.605805562340786,0.617764866152256,0.741279924493639,0.786565778102786,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
1,0.25,983,FALSE,0.703,0,"optimal default",0.623134909805764,0.600511614816602,0.759275758282536,0.778464146599404,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
1,0.721170862205327,707,TRUE,0.235822780523449,0.726696027442813,"random search",0.460766133682024,0.447523617809381,0.61207748300614,0.529276596213932,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
2,0.0491293971426785,1437,TRUE,0.672819366888143,0.501099332468584,"random search",0.468374942123623,0.521854127462931,0.61774986046766,0.699678539441369,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
3,0.7911840765737,1793,TRUE,0.598736904771067,0.781056120293215,"random search",0.518929672936425,0.482574527985771,0.63557265814848,0.502945165332029,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
4,0.0446898732334375,29,FALSE,0.688841536571272,0.436699430691078,"random search",0.468529015716298,0.497979938924403,0.590821646296973,0.677357230923525,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
5,0.841453260509297,1772,FALSE,0.216269135661423,0.546544715296477,"random search",0.503662703299815,0.489287736931606,0.639802211946541,0.554486644186597,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
6,0.460059399716556,347,TRUE,0.190398237085901,0.457672663964331,"random search",0.483523474204756,0.500261478295007,0.621899503484878,0.620751628939128,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
7,0.591014797100797,1394,FALSE,0.177956269308925,0.550830246880651,"random search",0.476937034473069,0.470945784597863,0.620977541764227,0.575682365757491,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
8,0.247295033419505,1879,FALSE,0.516512495977804,0.453933572396636,"random search",0.540910949055823,0.549854884280475,0.667692154927133,0.696992402228172,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
9,0.321878593415022,1201,TRUE,0.745991253200918,0.241148055298254,"random search",0.605675017664814,0.610690550377767,0.745394631557373,0.77351021744414,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
10,0.084476662799716,229,FALSE,0.772007450391538,0.800361150177196,"random search",0.313239186046675,0.379439300951553,0.472270498182238,0.551971014428543,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
11,0.653107608435676,130,FALSE,0.650844912300818,0.921339790802449,"random search",-0.520409525208669,-0.00619332492868385,0.553738128448333,0.383055557124394,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
12,0.24801445286721,166,TRUE,0.687729943240993,0.0584289112593979,"random search",0.610270155359724,0.618023458868856,0.725496005325246,0.765646937503909,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
13,0.818305488443002,666,TRUE,0.901031041028909,0.00415214500389993,"random search",0.62287909712314,0.594312085096879,0.755676764200792,0.72532462267586,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
14,0.467550191096961,1526,FALSE,0.121721353172325,0.449000720633194,"random search",0.434699208178722,0.460088415677679,0.592330380741552,0.608091460264114,0.0833333333333333,0.00219298245614035,0.00638581235169337,12,44,0,4,456,528,40,0.199460799878143,0.160247664995839,0.535904822876654,0.110023016213433,0.174242424242424,0.0548529066259622,0.0601442725483868,0.00661932387523591,0.00504210628340935,0.0184949799455526,0.0603927266949957,0.0961014773296277,0.183582154020684,0.0682703628558919,0.0128981981445935,0.0612780038732657,0.000966587058949294,0.00945707888484111,0.134469696969697,0.00378787878787879,0.028169014084507
