"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.133333333333333,500,TRUE,1,0.268398361005625,"default",0.869534751431148,0.904087414270113,0.904354226276998,0.942840793163963,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
1,0.266666666666667,983,FALSE,0.703,0,"optimal default",0.909440627961203,0.919678669687564,0.935895688353355,0.953718260915318,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
1,0.166541340295225,1673,TRUE,0.15781837310642,0.00551838078536093,"random search",0.767328578546939,0.869341589873726,0.805980056435648,0.914932117737799,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
2,0.0893464316613972,19,FALSE,0.121059934888035,0.425163133768365,"random search",0.601502089258724,0.729630029142113,0.638176856646428,0.814305167542864,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
3,0.498054578900337,343,TRUE,0.709132498060353,0.0292426100932062,"random search",0.92618973579342,0.925638542907115,0.9382749382817,0.952502073932155,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
4,0.648751727771014,1430,TRUE,0.210907980287448,0.242118678288534,"random search",0.894963567810848,0.912854584780271,0.920255491062831,0.936126864006142,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
5,0.916788812261075,786,TRUE,0.579658553004265,0.0478915472049266,"random search",0.935365290941307,0.92610051967278,0.944296656684226,0.947668893751643,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
6,0.5119738583453,91,FALSE,0.851486833044328,0.696936051361263,"random search",0.864380642735248,0.893678817736867,0.887265876504759,0.914446830033176,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
7,0.981929686618969,1277,TRUE,0.738099841820076,0.624582572374493,"random search",0.910107878338639,0.895425982843636,0.934810974074944,0.918323719074342,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
8,0.205602372996509,147,TRUE,0.356173058133572,0.97134516434744,"random search",-0.497814982190151,-0.00347512839833986,-0.442681485843573,-0.037935540521397,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
9,0.961760884849355,1419,FALSE,0.20023226684425,0.633533876389265,"random search",0.862898796574918,0.885958728334079,0.877551575566056,0.895036740324497,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
10,0.75226029753685,1861,TRUE,0.500695801107213,0.65382951288484,"random search",0.891366220046562,0.896938700232822,0.917287926265594,0.915495718546,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
11,0.233809036901221,1301,FALSE,0.560043324413709,0.117832502583042,"random search",0.898525028388244,0.920273309026133,0.929835645410977,0.951581907845606,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
12,0.732381930807605,523,TRUE,0.571405261126347,0.642850352684036,"random search",0.888219577188978,0.897681794260815,0.91836051009458,0.920247828049005,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
13,0.636092002969235,832,FALSE,0.357897798158228,0.00755911110900342,"random search",0.920440788920099,0.92123826387066,0.936722027330384,0.943698464404316,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
14,0.954780673608184,1896,TRUE,0.472439377056435,0.44108471320942,"random search",0.924154508707202,0.916064536927547,0.942643597628953,0.940182342049792,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
15,0.699088253779337,1618,FALSE,0.288373270398006,0.250313608907163,"random search",0.91725846988446,0.918852405188379,0.937321441424531,0.940344200262207,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
16,0.150810888968408,1120,FALSE,0.610953667573631,0.646192756714299,"random search",0.72750913712943,0.834783523088885,0.776761470164215,0.895413156314231,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
17,0.773196785245091,1199,FALSE,0.849541397299618,0.450810300884768,"random search",0.938352746636827,0.923535470546472,0.937902195180663,0.945157923681727,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
18,0.590118559543043,1023,TRUE,0.710568924085237,0.533645228017122,"random search",0.906899870789595,0.916492774736769,0.936153423258025,0.942251022458176,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
19,0.741907395422459,1108,TRUE,0.629608076927252,0.252114004688337,"random search",0.934055481594411,0.926322976026167,0.944056500155586,0.94968495143382,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
20,0.22541081556119,874,FALSE,0.756621125806123,0.831702592084184,"random search",0.684684718145097,0.812304840008678,0.727344798975752,0.870638347930027,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
21,0.247409808915108,1776,TRUE,0.318160055624321,0.147142115980387,"random search",0.866737532164931,0.909513413158368,0.897057801653212,0.941038948112924,0.111940298507463,0.00248756218905473,0,8.93333333333333,45,0,5,402,402,40,0.223361915466395,0.214970441806517,0.50334636342099,0.158969424843993,0.308457711442786,0.0244354615754818,0.0283070368689238,0.00139638686413755,0.000865694372589978,0.00288651156171564,0.0565633804957705,0.0836896992634444,0.167131001587461,0.0574811500792059,0.00862028133690873,0.0313707338500478,0.000343980311469277,0.00428958726925594,0.208955223880597,0.00497512437810945,0.0238095238095238
