"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.25751108605228,"default",0.717913820850486,0.703733631544491,0.670833557931738,0.701406785559866,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
1,0.25,983,FALSE,0.703,0,"optimal default",0.733037872638516,0.699238478712627,0.693286415235795,0.716454937671559,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
1,0.915184463607147,466,TRUE,0.647650472819805,0.530484349932522,"random search",0.692030851640103,0.636390100802267,0.665170656833203,0.662087402742763,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
2,0.32085228827782,1218,FALSE,0.814329669578001,0.968189248116687,"random search",-0.497317053580901,-0.00380231956722898,-0.470136386343421,-0.00214383559467901,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
3,0.80946717155166,1847,TRUE,0.5418557604542,0.479063429636881,"random search",0.693120637866051,0.652775613041287,0.664127505921461,0.66868863174129,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
4,0.164888237835839,1290,FALSE,0.979674689681269,0.43297654739581,"random search",0.719666382581596,0.685503623794927,0.687676685597025,0.709218469738558,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
5,0.432447264436632,748,FALSE,0.820149985607713,0.114915615413338,"random search",0.747995395255402,0.690149499579152,0.70825098326425,0.717225239670002,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
6,0.682913478696719,1404,FALSE,0.770785216777585,0.723613783018664,"random search",0.630860063374511,0.564124700995417,0.604498008531647,0.569682089719558,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
7,0.89061805489473,1549,TRUE,0.918863370711915,0.999375114450231,"random search",-0.486881709720804,-0.00271345001506584,-0.384646105104399,-0.00211492581753103,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
8,0.856959833530709,679,TRUE,0.844663869356737,0.460862971842289,"random search",0.719059473764474,0.671371114558055,0.679972870319248,0.686183571270272,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
9,0.884484868030995,604,FALSE,0.630127574503422,0.858545763650909,"random search",0.480688541530421,0.455985085123517,0.472922823159045,0.410672158762616,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
10,0.15768602443859,31,TRUE,0.857295884634368,0.414537444943562,"random search",0.698474554248694,0.671898008775064,0.662593261134009,0.690144422486901,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
11,0.851124639855698,453,FALSE,0.489475375856273,0.521397712873295,"random search",0.686706927287529,0.634964719803841,0.657572563314414,0.65437094602367,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
12,0.0199544013012201,656,TRUE,0.856274138810113,0.435783609747887,"random search",0.562351686938899,0.612666745273039,0.51755234863105,0.581403726532853,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
13,0.879671944305301,1030,TRUE,0.70881051751785,0.0693055635783821,"random search",0.717202300822115,0.680489936491693,0.692053415696646,0.697419798001243,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
14,0.0303476061671972,408,TRUE,0.340669238334522,0.815230034524575,"random search",-0.490398126127948,-0.00385194808982603,0.178065565686728,0.268220284375534,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
15,0.662297220434994,1716,FALSE,0.581331090326421,0.783424768131226,"random search",0.548583107738524,0.514854500910719,0.527929011495033,0.473645064199407,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
16,0.0749769827816635,507,FALSE,0.109985932894051,0.392248459625989,"random search",0.546264100665086,0.568996177846013,0.501449253450629,0.52250931409658,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
17,0.0224328739568591,982,FALSE,0.92924193458166,0.889820886775851,"random search",0.237002729395372,0.334759571716774,0.226701581222574,0.317211640125947,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
18,0.946796566713601,1140,TRUE,0.189054197026417,0.389188639353961,"random search",0.647491286338808,0.608853841532316,0.610851387073681,0.609913046013773,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
19,0.419630659045652,1376,TRUE,0.825663923169486,0.772534151328728,"random search",0.601684572268524,0.564472671371707,0.572250503930522,0.547244488967779,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
20,0.446008815197274,14,TRUE,0.727989657060243,0.92858177376911,"random search",0.477645508459495,0.459208576841024,0.471396462909316,0.397948301181734,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
21,0.525368417613208,1190,FALSE,0.283046455262229,0.952901047188789,"random search",-0.482881090601452,-0.00261324453684608,-0.401231188166927,-0.00231374408710106,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
22,0.156266086036339,982,TRUE,0.402693325234577,0.577486569760367,"random search",0.616135714120081,0.601121218041453,0.576003223873461,0.580789031873237,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
23,0.22340491018258,858,FALSE,0.23062741374597,0.657867625821382,"random search",0.500672411692733,0.506702726302298,0.494605099956484,0.483265543380941,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
24,0.77865781635046,1602,FALSE,0.78487689208705,0.188194614602253,"random search",0.742877432280139,0.685258902613066,0.701379918025687,0.703761944022877,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
25,0.965937340864912,1549,FALSE,0.805214805435389,0.588969987584278,"random search",0.702227573313632,0.638327655623217,0.678433471919063,0.658423005728403,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
26,0.722126290667802,724,FALSE,0.307504989951849,0.613407880999148,"random search",0.616737348653357,0.57788985420847,0.583693616019799,0.559232539631771,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
27,0.859631140949205,132,TRUE,0.528747850260697,0.404724801890552,"random search",0.700454918173569,0.661273759471413,0.674593304718501,0.673287411482235,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
28,0.398248232901096,1530,TRUE,0.952676824317314,0.727524209301919,"random search",0.64491363127391,0.605920625411156,0.609930512545397,0.599450653630506,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
29,0.911296628182754,1826,FALSE,0.360565478820354,0.912862336495891,"random search",-0.4934273070373,-0.00336231731458647,-0.446908772637085,-0.00219310829036057,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
30,0.739284480223432,643,FALSE,0.822044096654281,0.926803052425385,"random search",0.464010721703897,0.412702593592825,0.449281811647862,0.384538848198725,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
31,0.977196047548205,351,FALSE,0.122837277222425,0.989409036701545,"random search",-0.503438247658072,-0.00523819701048622,-0.453627390361496,-0.00228828457798147,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519848822665724,0.120405224819433,0.444015444015444,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.192872050268179,0.062749987045626,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.137065637065637,0.00386100386100386,0.028169014084507
