"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.258072888265355,"default",0.480436979264298,0.442038233910682,0.485263873803229,0.448346134007301,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
1,0.25,983,FALSE,0.703,0,"optimal default",0.512496379372832,0.447110003041598,0.500601236507217,0.454282609075204,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
1,0.0259111006744206,16,FALSE,0.13428311238531,0.37097353185527,"random search",0.253008621680746,0.253120408511749,0.327185557230859,0.348112600870976,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
2,0.812531523173675,450,TRUE,0.616846865718253,0.874638242181391,"random search",0.207555966629781,0.238848279857041,0.25727563578637,0.262167725858524,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
3,0.502819951623678,684,FALSE,0.539732453390025,0.968302054796368,"random search",-0.542849315666545,-0.00908479225855419,-0.322178105264319,-0.00815786475311087,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
4,0.721123477909714,1660,FALSE,0.771875512739643,0.042951601324603,"random search",0.509149430032401,0.405445825707975,0.490999758322017,0.405605335424811,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
5,0.761615606956184,234,FALSE,0.76329193469137,0.318622688530013,"random search",0.504696765794898,0.387880443291372,0.480852123904216,0.388408986032611,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
6,0.909480197122321,638,FALSE,0.859904040582478,0.321325396886095,"random search",0.51803949211372,0.380689961528603,0.490698028660049,0.388171654318998,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
7,0.0704784102272242,1325,FALSE,0.987120910105295,0.561341242166236,"random search",0.426030524957585,0.392847504618677,0.451170438152883,0.425799939225957,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
8,0.254718865035102,1015,TRUE,0.344233740516938,0.628099428024143,"random search",0.34547778232567,0.345020883335905,0.358704231206046,0.342086492467829,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
9,0.181963350856677,1095,TRUE,0.319221767620184,0.0514084007591009,"random search",0.425366421977622,0.404538974058558,0.444150248205303,0.415867588603008,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
10,0.242185509996489,1382,FALSE,0.612126466818154,0.342366640921682,"random search",0.477370761306234,0.419057774696462,0.486525189392492,0.437893328324801,0.086105675146771,0.00195694716242661,0,11.6136363636364,44,0,4,511,511,40,0.170106747367297,0.141591581358308,0.545716460100022,0.104650002364412,0.205479452054795,0.0573063368076054,0.0564490184604264,0.00646427212759094,0.00493244570143968,0.0125855989003318,0.0766749110933767,0.0702545745903497,0.198230057001469,0.0578288329369643,0.0103879157696527,0.0209266695605195,0.00152262301042359,0.0139293087584994,0.140900195694716,0.00391389432485323,0.0277777777777778
