"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.136363636363636,500,TRUE,1,0.257431646824855,"default",0.356912229508197,0.311410726711893,0.330527514412767,0.292712566244763,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
1,0.25,983,FALSE,0.703,0,"optimal default",0.38760251240599,0.281960861633644,0.348380145754223,0.291440431562603,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
1,0.521877566585317,1823,TRUE,0.235583810787648,0.596712921978906,"random search",0.30716383860462,0.287919906853031,0.295505337259034,0.28506280056228,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
2,0.076659198384732,1,FALSE,0.433903587702662,0.348652126034722,"random search",0.367579064567173,-0.132878437019762,0.223683896011691,-0.325033574616333,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
3,0.602540488122031,936,TRUE,0.770678771426901,0.982278727693483,"random search",-0.50727774689828,-0.0047937745652884,-0.355786802172407,-0.00294985607541154,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
4,0.839557397877797,431,FALSE,0.710397470369935,0.754802283830941,"random search",0.330851177183603,0.239433279056629,0.360685544411504,0.312017318465686,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
5,0.340458762366325,1983,FALSE,0.764781285938807,0.313253999920562,"random search",0.397610230354151,0.29356591715558,0.335492069912626,0.279612906463007,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
6,0.721682948293164,1549,TRUE,0.344646649202332,0.485885358415544,"random search",0.337309917356466,0.295959286705753,0.309973799410944,0.28407458493735,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
7,0.450107779353857,441,FALSE,0.705433630407788,0.797108906554058,"random search",0.304152246084196,0.247910460899107,0.325419783890752,0.299543888225319,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
8,0.748140767449513,1980,TRUE,0.303456838126294,0.991981062572449,"random search",-0.494444279167208,-0.00355549493508911,-0.424818869570049,-0.00293797750262992,0.0847784200385356,0.00869565217391304,0.0700538698859436,11.7954545454545,44,0,4,115,519,40,0.158719657962515,0.136683824202579,0.599764504388782,0.212163096013896,0.0674373795761079,0.0465479470614652,0.0692640433040211,0.00695497531767442,0.00523771698886935,0.0238995427464584,0.0406267725467952,0.122580294596662,0.114556904453771,0.0728122864094585,0.015076114933916,0.0724768452663584,0.000505213625387517,0.00833973297754045,0.138728323699422,0.00385356454720617,0.0277777777777778
