"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.3,500,TRUE,1,0.262128367193897,"default",0.399787745715816,0.407348545157509,0.380361053475528,0.411772809278395,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
1,0.3,983,FALSE,0.703,0,"optimal default",0.44271849219731,0.435911463010059,0.427632231059113,0.44626023139327,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
1,0.720620633335784,273,TRUE,0.589520437712781,0.11184661462903,"random search",0.388160737975805,0.377753838391658,0.368685815612852,0.403302116281312,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
2,0.022369290003553,1762,FALSE,0.890668976516463,0.238817990757525,"random search",0.407067219208712,0.425823710480559,0.382775404246085,0.415526151339136,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
3,0.839559558080509,528,TRUE,0.768605853850022,0.151313291396946,"random search",0.4269900992702,0.412216277411904,0.394039358176195,0.432494042383544,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
4,0.13679314753972,1490,FALSE,0.572691839048639,0.774613755987957,"random search",0.0691263780265332,0.166560231818437,0.038307000446285,0.14174911813849,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
5,0.254626150475815,1441,TRUE,0.398514811974019,0.213408516021445,"random search",0.322259444069235,0.364062329218104,0.316258948999972,0.373465413423965,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
6,0.717030011350289,951,FALSE,0.545919341896661,0.057241371832788,"random search",0.42368550825794,0.405515582052669,0.405051060750243,0.428716740523354,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
7,0.278712118277326,1786,FALSE,0.740645149629563,0.693786866031587,"random search",0.182652062849573,0.227284313777818,0.149074502880956,0.200741551757129,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
8,0.647360258270055,1012,FALSE,0.448958301148377,0.506455090362579,"random search",0.300653069995284,0.321052068883804,0.247618170298802,0.268407103119413,0.021551724137931,0.0021551724137931,0,46.4,10,0,0,464,464,10,0.167610666756751,0.104926025845514,0.49698275862069,0.0571669385090874,0.443965517241379,0.104381798738034,0.0882483265484839,0.0186665430654931,0.0179152508781354,0.0383451339338597,0.0853729719188095,0.0888882030011715,0.155972406546764,0.0811255892288477,0.0128378194756193,0.0267639583247909,0.0144816976553782,0.0380841852197103,0.021551724137931,0.0021551724137931,0.1
