"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.333333333333333,500,TRUE,1,0.262778956839942,"default",0.308086575469377,0.24813243930387,0.498353897029365,0.480395371230187,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
1,0.333333333333333,983,FALSE,0.703,0,"optimal default",0.370063652746079,0.270212247686328,0.542202008562238,0.486131034079272,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
1,0.312591993482783,1151,FALSE,0.179455997352488,0.438556694192812,"random search",0.111057968807105,0.161377386978014,0.207324802460228,0.257657886600749,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
2,0.814190428238362,1898,FALSE,0.432336499541998,0.694928084732965,"random search",0.134720592119173,0.152230984338181,0.23845854656521,0.253617640923794,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
3,0.882142956135795,495,FALSE,0.266147143091075,0.112929002381861,"random search",0.27270301898108,0.229928015748107,0.458505988479276,0.429892197211841,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
4,0.508623603032902,528,TRUE,0.110490140202455,0.938404683023691,"random search",-0.472561983246628,-0.0025004960246886,-0.456622850899938,-0.0101112529707759,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
5,0.336420541862026,1703,TRUE,0.609524594573304,0.516824595164508,"random search",0.23186122205979,0.190976943170207,0.396090543337516,0.396772069531419,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
6,0.142716760281473,1517,FALSE,0.220056173601188,0.970171438064426,"random search",-0.501805968824844,-0.00430326422464367,-0.39132749513035,-0.0102667507595018,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
7,0.598512790631503,943,TRUE,0.862486772332341,0.0390034767333418,"random search",0.362823774846768,0.266771521784676,0.560707043626491,0.49131619406738,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
8,0.895234392257407,939,FALSE,0.625375268631615,0.108139718649909,"random search",0.363596574672815,0.254998316796713,0.587910788774121,0.491109371430695,0.00656455142231947,0.00218818380743982,0,152.333333333333,3,0,0,457,457,3,0.164732790285557,0.157694073579571,0.480671043034282,0.0434525777056353,0.415754923413567,0.107049204034387,0.0896285351754022,0.0194752281213014,0.0180207903399325,0.0295483840925275,0.113163762047758,0.120470668670452,0.162725102558418,0.107104410364795,0.024659090698802,0.0613111847172672,0.0256573146165391,0.0501649820318736,0.00656455142231947,0.00656455142231947,1
