"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.333333333333333,500,TRUE,1,0.261221190653151,"default",0.384778196737162,0.311485743935682,0.499343930832733,0.453917967579066,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
1,0.333333333333333,983,FALSE,0.703,0,"optimal default",0.405291389483038,0.321157738375055,0.527423810302794,0.474777821432761,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
1,0.567717210622504,1109,TRUE,0.785397221986204,0.808997401734814,"random search",0.190875238479668,0.173279259072907,0.317471031314955,0.334711801607477,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
2,0.771938871592283,67,TRUE,0.133196779177524,0.420045000733808,"random search",0.219239472992825,0.205276649378197,0.316635935986649,0.325462011233303,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
3,0.201887350995094,57,TRUE,0.7686494106194,0.0927961990237236,"random search",0.383043783691062,0.296291652275346,0.472546112843342,0.42143424400768,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
4,0.534771488979459,934,TRUE,0.46036720124539,0.776289572240785,"random search",0.140611203658772,0.158045136572595,0.250641637089618,0.274477832654887,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
5,0.133780122268945,559,TRUE,0.599818913964555,0.274596316041425,"random search",0.298229761571917,0.293747190105164,0.413833536553056,0.409808224206073,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
6,0.558714277110994,1047,TRUE,0.281497160205618,0.801612520124763,"random search",-0.512063088366012,-0.00535252013865861,-0.331651898183594,-0.00625963190986001,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
7,0.834596798522398,804,TRUE,0.615157563751563,0.922716141678393,"random search",-0.478671460651812,-0.00236749316873142,-0.303413146166421,-0.0072904661495381,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
8,0.472968898480758,34,FALSE,0.22049857149832,0.365831188624725,"random search",0.24716946643381,0.195207369847608,0.408750372275079,0.411563294948493,0.0126582278481013,0.00215982721382289,0.000468040153571907,79,6,0,0,463,474,6,0.153049025779626,0.156547135379129,0.512658227848101,0.0856758301898682,0.156118143459916,0.0716795702163213,0.0797695330711391,0.0114877147657664,0.0106849494992334,0.0351993541018885,0.0755874777854554,0.104302696384196,0.124013483358793,0.0719457505438191,0.0145758221834711,0.0434650462221771,0.0105783439045535,0.0427418222414379,0.0126582278481013,0.00210970464135021,0.166666666666667
