"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.333333333333333,500,TRUE,1,0.262967271402632,"default",0.450261608830209,0.411150456363287,0.457423494174534,0.396416223812227,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
1,0.333333333333333,983,FALSE,0.703,0,"optimal default",0.448473942186662,0.377226683635212,0.495787394015176,0.410978837288798,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
1,0.69858554401435,1968,TRUE,0.269486075895838,0.810120921116322,"random search",-0.50062943406802,-0.00427644127421267,-0.440930762482249,-0.0073310680503702,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
2,0.303136483533308,40,TRUE,0.444019193667918,0.706467648968101,"random search",0.221940973555266,0.249673376528563,0.231384606726907,0.211724222833952,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
3,0.840800054604188,201,FALSE,0.697682584892027,0.290278160944581,"random search",0.516301651706701,0.426708799337727,0.507997495476241,0.331501025449059,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
4,0.491156102856621,634,TRUE,0.813885905430652,0.777471028035507,"random search",0.266175171667704,0.246301394283216,0.27014714100053,0.234433824374165,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
5,0.108570051612332,1087,TRUE,0.189124913886189,0.625983747188002,"random search",0.082372448504418,0.177359766184691,0.100091731959571,0.174839826375969,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
6,0.657870060997084,47,TRUE,0.209712722571567,0.665072203148156,"random search",0.195548557971097,0.224359297664846,0.187861262613074,0.184060262337787,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
7,0.85853647114709,1516,FALSE,0.977488942048512,0.573105629067868,"random search",0.443287557827472,0.262841002032932,0.460903779010808,0.208815414063646,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
8,0.0660587116144598,183,TRUE,0.742153695435263,0.255747504532337,"random search",0.383308587543815,0.387990077882302,0.412175336279598,0.380197263133163,0.0131868131868132,0.00222222222222222,0.000230634452651169,75.8333333333333,6,0,0,450,455,6,0.134608728479228,0.113022305096939,0.508058608058608,0.0634920165304607,0.397802197802198,0.119279412310131,0.10481181521515,0.0251889508171985,0.0240429425084068,0.0452311796209344,0.113271576225317,0.120293736184884,0.131531534501097,0.0700827188921993,0.0238915648934395,0.0546524934227999,0.0219770028593646,0.0554087228344147,0.0131868131868132,0.0021978021978022,0.166666666666667
