"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.333333333333333,500,TRUE,1,0.262967271402632,"default",0.663277911045304,0.603523024128892,0.610906376915525,0.700985880287013,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
1,0.333333333333333,983,FALSE,0.703,0,"optimal default",0.678199958479246,0.612402878380729,0.620485392396237,0.692596680860783,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
1,0.480910829966888,415,FALSE,0.892221887107007,0.449802484130487,"random search",0.683410058978247,0.61792585006391,0.634528031603507,0.688411116422266,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
2,0.15663685137406,463,TRUE,0.427682678308338,0.70650190114975,"random search",0.319037364459227,0.381666141146889,0.314392706418551,0.459628268517696,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
3,0.00821551983244717,179,TRUE,0.35941535262391,0.0825027457904071,"random search",0.556385094619943,0.582470676205659,0.531733196969101,0.660285902266153,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
4,0.452458394225687,526,TRUE,0.253580711595714,0.339312580181286,"random search",0.590597947447389,0.577384056694552,0.541943874726204,0.645126474027723,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
5,0.492293328745291,195,FALSE,0.254954571742564,0.680787551216781,"random search",0.449948615614486,0.466644002818957,0.400750494688674,0.535201789629589,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
6,0.389587111538276,938,FALSE,0.533838344970718,0.316949248081073,"random search",0.669863667404372,0.627028683668854,0.610968538946498,0.682291945089506,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
7,0.464665941894054,1842,FALSE,0.327668435662054,0.831568598048761,"random search",-0.497497542975154,-0.00412189725020018,-0.434116043675682,-0.00807412848128974,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
8,0.713279000716284,1142,FALSE,0.294629310653545,0.215172082651407,"random search",0.653712013312388,0.597614223217619,0.60019974628219,0.671923100102647,0.0131868131868132,0.0021978021978022,0,75.8333333333333,6,0,0,455,455,6,0.367441328669012,0.127301153003645,0.410622710622711,0.0729646056350751,0.0571428571428571,0.0631351799608218,0.0695124813085683,0.00880741625897992,0.00744672897183976,0.0309763484753028,0.0485015731320579,0.0692975450966419,0.128068023382275,0.0700393280641426,0.00517868069750791,0.0169222575611299,0.00475449227440791,0.0138845317217081,0.0131868131868132,0.0021978021978022,0.166666666666667
