"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.333333333333333,500,TRUE,1,0.262405586781021,"default",0.797688671365454,0.806957883424754,0.836160804741959,0.88747707999126,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
1,0.333333333333333,983,FALSE,0.703,0,"optimal default",0.812647763605347,0.804500445000867,0.851784543740342,0.902773383779111,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
1,0.538378912722692,253,TRUE,0.62839714337606,0.508267285535112,"random search",0.786591144571979,0.777183340612617,0.824049394404189,0.853475363963828,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
2,0.801623974693939,1987,TRUE,0.810723645752296,0.931962527101859,"random search",0.657468383078703,0.676329709206691,0.750932053899852,0.788236567893996,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
3,0.253682049689814,1318,FALSE,0.74645336009562,0.92703174543567,"random search",0.409578017063117,0.505135973764366,0.520429603634264,0.612844913888862,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
4,0.516163937514648,1235,TRUE,0.638680991530418,0.506483404431492,"random search",0.789881014906691,0.782980703496252,0.818328413778451,0.855457888569633,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
5,0.991892386460677,1929,TRUE,0.533421278651804,0.203205907950178,"random search",0.832295844798709,0.82039154755409,0.871194051837716,0.90165678046299,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
6,0.217253947863355,1678,FALSE,0.53418134690728,0.482920610113069,"random search",0.737026654218759,0.754001671588086,0.761292684951612,0.815571542822352,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
7,0.763977279188111,48,TRUE,0.888281626929529,0.582692202413455,"random search",0.799803554415797,0.77541812957234,0.837425376945754,0.832523104740874,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
8,0.625938066048548,785,FALSE,0.843642488564365,0.423971173586324,"random search",0.83608880140993,0.818323135269853,0.8953996597502,0.906814699289878,0.0130151843817787,0.00216919739696312,0,76.8333333333333,6,0,0,461,461,6,0.426864895298358,0.320878613961218,0.356832971800434,0.203103378248298,0.0498915401301518,0.0578995461175342,0.0700931339339666,0.00825474749561667,0.00695113383167042,0.0269568331646812,0.0470478565164868,0.0793795919953053,0.113655295562431,0.0652948419521703,0.00776200900032677,0.0275521554733882,0.00595632613752607,0.0329289169379562,0.0130151843817787,0.00216919739696312,0.166666666666667
