"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.229878795761828,"default",0.563618712025131,0.551179875811957,0.583377426938011,0.53452635704376,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.6013059239306,0.561406210590404,0.617938577141035,0.538890930498853,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
1,0.625239877728745,388,FALSE,0.331371505791321,0.797261851141229,"random search",0.296352205334675,0.320248993774213,0.341807300978936,0.345394999877284,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
2,0.857022792333737,658,TRUE,0.624365906021558,0.979901772458106,"random search",-0.46746985472749,-0.00147011518853812,-0.375795433880057,-0.00657109387840538,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
3,0.264086607377976,1905,TRUE,0.481182556180283,0.0434697098098695,"random search",0.557247922947885,0.541539134730759,0.568347321055161,0.508580909122349,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
4,0.984041353920475,1490,TRUE,0.92267502755858,0.146541909547523,"random search",0.615039628133739,0.55216261009126,0.597521804793804,0.495310028253362,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
5,0.572410247288644,950,TRUE,0.630882399249822,0.317623800365254,"random search",0.582259191117878,0.54892073047372,0.583540087881172,0.507217621919688,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
6,0.783770504407585,326,FALSE,0.492819360853173,0.798938464839011,"random search",0.368202086735861,0.362682662417502,0.378401164985308,0.355660515560545,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
7,0.167937326012179,1369,FALSE,0.53752708833199,0.967688332078978,"random search",-0.465614612517474,-0.0014375556906272,-0.434222207113974,-0.00662780469628155,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
8,0.0739283061120659,245,FALSE,0.128085302887484,0.60833102138713,"random search",0.262051776273422,0.328671206937343,0.26863195044401,0.308227860096401,0.0446265938069217,0.000911577028258888,2.74975718870295e-05,22.4081632653061,49,0,0,1097,1098,49,0.187323168003539,0.148512961337469,0.585777480391063,0.164758003587032,0.377049180327869,0.06206512605868,0.0693400562874187,0.00865574436841646,0.00705439198535192,0.0188949423236516,0.0754102540133561,0.0961156778903128,0.102457608482937,0.0323374440581078,0.01432109744131,0.0526873145258055,0.00407603397588096,0.0162460011027141,0.0446265938069217,0.000910746812386157,0.0204081632653061
