"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.229229264401348,"default",0.472435083343286,0.507234610581768,0.528791674520766,0.551161209978188,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.523270957347642,0.536681802168077,0.584284191715964,0.588283637251015,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
1,0.232076003914699,405,TRUE,0.54820886105299,0.658327950630337,"random search",0.288124008149282,0.335125460530249,0.342778402860364,0.379660000186499,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
2,0.963406786089763,146,TRUE,0.292610577051528,0.999594717286527,"random search",-0.45777300366103,-0.00130760788978668,-0.513809568726745,-0.00429107122277883,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
3,0.894978760043159,322,FALSE,0.304440651438199,0.405792436329648,"random search",0.438942837966091,0.44034745474945,0.500239215668009,0.504109971182993,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
4,0.502817739732563,1983,FALSE,0.438156775338575,0.818600519793108,"random search",0.108286787471969,0.183618252836706,0.163938582915985,0.224246548017236,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
5,0.507970097241923,1450,FALSE,0.410753723117523,0.132852060953155,"random search",0.4866245713956,0.497457241517823,0.55055578933373,0.558524174400117,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
6,0.744524874258786,1263,TRUE,0.161889245337807,0.536178337642923,"random search",0.272454432803812,0.312093420524337,0.329175729825042,0.357126610520718,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
7,0.73194964742288,1646,FALSE,0.18165181374643,0.0154763499740511,"random search",0.407822298551275,0.432214079780518,0.471661632089796,0.490419091521452,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
8,0.486883378354833,1780,TRUE,0.178530999226496,0.449698596494272,"random search",0.317743129003998,0.353298441742662,0.379796442418605,0.413757568667295,0.04375,0.00207900207900208,0.00130416487028356,22.8571428571429,49,0,0,481,1120,49,0.114277673695866,0.080549898233018,0.618713556851312,0.139164749153596,0.592857142857143,0.110962378467931,0.0895230535311073,0.0203198708549425,0.0184094583224508,0.0322788265034323,0.108159091237434,0.115276927744441,0.10821699324181,0.0339724989454231,0.0216758692700448,0.0584191483006411,0.0106842443670411,0.0335395861669535,0.04375,0.000892857142857143,0.0204081632653061
