"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.229083927857976,"default",0.519820961888835,0.533683862940607,0.555327644182332,0.6087249679845,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.580419923117108,0.560636316073319,0.597545084900721,0.629227286179274,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
1,0.415539632085711,1242,TRUE,0.473231353331357,0.0172246105503291,"random search",0.530508140914591,0.530514281292359,0.560561267898419,0.602879749551571,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
2,0.529635304119438,788,FALSE,0.341726025543176,0.490194557700306,"random search",0.472152998124969,0.471053685916188,0.496278137362472,0.536021549088183,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
3,0.516295451205224,52,FALSE,0.550788032799028,0.670979026006535,"random search",0.458814510483514,0.43927189826649,0.494897635434166,0.527111267582877,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
4,0.489277512766421,171,FALSE,0.863172839698382,0.574991270899773,"random search",0.533985364085615,0.487859823051984,0.538684932849124,0.55557357623007,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
5,0.630404036492109,1914,TRUE,0.144388983189128,0.290739305550233,"random search",0.408762565919273,0.44530260496377,0.428045191657031,0.503160600344296,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
6,0.0183623938355595,1221,FALSE,0.794065380143002,0.176838973537087,"random search",0.240482093056921,0.322799306890079,0.278316287195855,0.379678228892738,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
7,0.488913350040093,1253,FALSE,0.35729120883625,0.0451986053958535,"random search",0.538913457276169,0.530361596946862,0.556639309202963,0.592893535940625,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
8,0.940239993156865,906,TRUE,0.656278527551331,0.869764340342954,"random search",0.353981105672107,0.360494027577231,0.403477096946963,0.44974961475918,0.0435555555555556,0.00123762376237624,0.000613668253965263,22.9591836734694,49,0,0,808,1125,49,0.134787390214548,0.086111048777321,0.615582766439909,0.138215088781131,0.152888888888889,0.0530725195419384,0.0516105055911023,0.00547796893408763,0.00430472475685028,0.0107965539875784,0.0559271778356975,0.0706866333813262,0.108769053533299,0.0346852827252448,0.00749434762723446,0.0300108113112346,0.00259874261951344,0.0126518194215347,0.0435555555555556,0.000888888888888889,0.0204081632653061
