"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.230149353911175,"default",0.345620919465237,0.391660195029223,0.636714426941337,0.814438525290562,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.564551293798483,0.539463323180014,0.736462607805705,0.880446107691363,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
1,0.768373731290922,1707,FALSE,0.475870353425853,0.876059572212398,"random search",0.50814826492936,0.522480845725825,0.743245697608144,0.87271768280748,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
2,0.422362021636218,991,FALSE,0.239812629297376,0.59949554130435,"random search",0.323427679048579,0.411426683888966,0.502734786333653,0.685602257736595,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
3,0.986712484387681,539,FALSE,0.328771095559932,0.0890516845975071,"random search",0.317187294692535,0.366103422904234,0.659890752851568,0.825927089636821,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
4,0.133636315353215,418,TRUE,0.196295231184922,0.708548340480775,"random search",0.0960946832162416,0.180455175286046,0.307926926594711,0.469731574832172,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
5,0.332315294304863,1788,TRUE,0.917602492542937,0.415515401633456,"random search",0.514965892624992,0.534984547906647,0.756441828305146,0.891553423543754,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
6,0.307176224188879,505,TRUE,0.190569925075397,0.456179786706343,"random search",0.220030828502291,0.310307507931557,0.371838377376045,0.544282851561514,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
7,0.439457553904504,870,FALSE,0.207702001440339,0.378631944768131,"random search",0.288892296160017,0.378869755416858,0.464578248403019,0.647272231056387,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
8,0.34405785985291,857,TRUE,0.800754674267955,0.0885077523998916,"random search",0.391325759456913,0.388033132573863,0.734543123624151,0.881836192529712,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
9,0.374808860244229,1273,FALSE,0.248983660154045,0.271905189845711,"random search",0.323751388064447,0.414367918564683,0.520500874710283,0.710779810095372,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
10,0.988176946295425,1998,TRUE,0.136788164637983,0.528064572950825,"random search",0.206477481013169,0.291028759621344,0.346660727946997,0.502271175862867,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
11,0.3652635270264,1465,TRUE,0.691014868090861,0.873506457544863,"random search",0.306751963090758,0.351854255456568,0.692303819085184,0.849446957609761,0.0449954086317723,0.00102880658436214,0.000357188969187167,22.2244897959184,49,1,0,972,1089,49,0.11603964959045,0.0878549889530461,0.615130900845187,0.126009239118792,0.00183654729109275,0.00803849652121058,0.0236322017272074,0.000622585546451234,0.000136095198559498,0.000966587485147271,0.00574960760746606,0.0334522032263366,0.108137625266886,0.0359286238108587,0.000339898306111138,0.00765158351201852,2.45913196386295e-05,0.000189142479868697,0.0449954086317723,0.000918273645546373,0.0204081632653061
