"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.229670325279351,"default",0.427601746037131,0.393549729557089,0.412213298415118,0.414435286508515,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.455102961466218,0.399167176607732,0.439342632597836,0.420996261585284,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
1,0.459876938490197,313,FALSE,0.971795119834132,0.197353828232735,"random search",0.48235635398921,0.376221887657532,0.466152634792949,0.410201170944422,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
2,0.571109133306891,166,TRUE,0.310976462019607,0.716926644090563,"random search",0.246816574350659,0.259191284422224,0.224910105405631,0.244374053774067,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
3,0.561461610719562,708,FALSE,0.496167751797475,0.747121155960485,"random search",0.285370522936561,0.282284866068369,0.254522078663678,0.265357411226267,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
4,0.78291365574114,1105,TRUE,0.654843103582971,0.456051904242486,"random search",0.426021145684043,0.373698002821787,0.401437166487948,0.375339071252019,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
5,0.843127413652837,1709,FALSE,0.238314970955253,0.114294871455058,"random search",0.406673349500382,0.359958720029728,0.391889550804801,0.374131303151172,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
6,0.683963590767235,273,TRUE,0.515661972109228,0.428301507607102,"random search",0.421803695160024,0.379590695061594,0.391832375577545,0.370380967332736,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
7,0.558211664669216,1449,FALSE,0.632124572363682,0.88349803397432,"random search",0.150585700559529,0.205218992475123,0.114549477201217,0.17882603388229,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
8,0.144394741626456,694,TRUE,0.71483803880401,0.170803715009242,"random search",0.417064658004926,0.386684224660148,0.40996587346296,0.407881770710194,0.0443438914027149,0.00229885057471264,0.00144601150328742,22.5510204081633,49,0,0,435,1105,49,0.12588233202302,0.107756949611933,0.613556191707452,0.145416809189974,0.28868778280543,0.0616463230337795,0.055056626445073,0.00682875806261277,0.00586507523731441,0.0134558425119534,0.0762587958432359,0.0721442109469914,0.108503609803997,0.0332877778279523,0.0108136555575885,0.0297979524578456,0.00370521930287826,0.011935828160951,0.0443438914027149,0.000904977375565611,0.0204081632653061
