"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.230058849377579,"default",0.0017448456469602,0.0640162598007638,0.124120295057087,0.160281303178931,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.0365896308911841,0.0601820301283169,0.161196050319426,0.165324594496054,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
1,0.974063222529367,844,TRUE,0.186950796353631,0.345256505301222,"random search",-0.0611271573351302,0.0396082086397445,0.0508335029583745,0.127296747503969,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
2,0.244627511361614,170,TRUE,0.357790192752145,0.370590393664315,"random search",-0.0456483657303628,0.0571498407180644,0.0726478172808205,0.138718791122853,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
3,0.9166375012137,426,FALSE,0.416777238063514,0.778987149009481,"random search",-0.144516904535166,0.032720873740257,-0.077358620372489,0.0619031105854452,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
4,0.256940986495465,83,FALSE,0.73521450094413,0.632078682305291,"random search",-0.0768897549323728,0.0453130034117326,0.0374531445285273,0.12355504480214,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
5,0.0486830722074956,1062,FALSE,0.2983287851559,0.935694569256157,"random search",-0.462187185879682,-0.00138362773314671,-0.420988709278576,-0.00123363889625372,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
6,0.799803867703304,884,TRUE,0.128084295801818,0.0969756271224469,"random search",-0.0696636276582754,0.0402609257344768,0.0459939945822071,0.128529291838438,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
7,0.842775369528681,1258,TRUE,0.385702142375521,0.56206594966352,"random search",-0.0605528581115942,0.0505635045137587,0.0438461486506786,0.122825520252513,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
8,0.749812582042068,267,FALSE,0.199315186473541,0.706953978165984,"random search",-0.163911809559574,0.0310949618202923,-0.0881984400516258,0.0673845309700162,0.0448717948717949,0.00172117039586919,0.00105620928327135,22.2857142857143,49,0,0,581,1092,49,0.0726910255645207,0.0604908698074116,0.631083202511774,0.141436091011829,0.110805860805861,0.0596019392285682,0.0672877826716872,0.00807589066098504,0.00752938528768329,0.0316926466888568,0.0810827170960177,0.0933365895531593,0.112396755103408,0.033156606072257,0.0154216603781725,0.0490383453285683,0.00491758333931801,0.0264821295633835,0.0448717948717949,0.000915750915750916,0.0204081632653061
