"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.229789242652343,"default",0.106529715974652,0.15172986473741,0.0122907419584204,0.171432027666505,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.118717488230234,0.102598885791239,0.0804649805464603,0.171061613501127,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
1,0.4274022646714,1025,TRUE,0.503057155897841,0.124270614935085,"random search",0.106306112092499,0.123568402259628,0.015119456975997,0.134515078296768,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
2,0.0947088852990419,262,TRUE,0.333314241305925,0.819861065596342,"random search",-0.155503875111996,0.0457535194964255,-0.26424035293431,0.0347037696000512,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
3,0.0166165151167661,533,FALSE,0.677585903764702,0.630349973449484,"random search",-0.12577360536168,0.0572054481930014,-0.263733438707168,0.0339208549742708,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
4,0.775501820258796,1748,FALSE,0.878950257599354,0.139104104600847,"random search",0.132562219830537,-0.0179447447644923,0.118581035866261,-0.114470993541332,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
5,0.707390724681318,1370,FALSE,0.706739032198675,0.95225973543711,"random search",-0.494636813665073,-0.00363925802717602,-0.554564148410937,-0.0473045939923624,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
6,0.62475341768004,597,TRUE,0.11268368572928,0.880426170537248,"random search",-0.472443453085427,-0.00176494255491844,-0.527941424539724,-0.0461877507964947,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
7,0.449278912041336,933,FALSE,0.526449282839894,0.458584527717903,"random search",0.0852640779782768,0.0910148858254884,-0.0106740808903587,0.0551097817419415,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
8,0.0216957968659699,1880,TRUE,0.678376675560139,0.741944222478196,"random search",-0.102228857598165,0.0668277566800918,-0.228197307488901,0.053601630207328,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
9,0.450812841765583,22,TRUE,0.426102344016545,0.0608378944452852,"random search",0.101402754924466,0.104534808926004,-0.094572420883442,-0.212413648714337,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
10,0.316882154671475,365,FALSE,0.121774872671813,0.59863063134253,"random search",-0.0282012784642116,0.0911892477306659,-0.121595801088875,0.104418602007001,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
11,0.799027296015993,204,TRUE,0.86466517217923,0.0965483200270683,"random search",0.144029147475376,0.0801223091643962,0.0543124905328981,0.0751049298871445,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
12,0.941943272948265,709,FALSE,0.14618857591413,0.591947195352986,"random search",0.0401265518904076,0.0983857149087404,-0.0492905101128389,0.0585084197143256,0.0445049954586739,0.00452488687782805,0.044333879256613,22.469387755102,49,0,0,221,1101,49,0.0892700577720243,0.0577504472062525,0.715379339746798,0.189530208492321,0.0036330608537693,0.0211528336659953,0.0423344103105419,0.00223801687344137,0.00151853411912603,0.0123296658691316,0.0208670454545455,0.061104641096235,0.089575577457968,0.038343817659768,0.00470751589464124,0.0455237941322935,0.000789853726760332,0.00591262207287487,0.0445049954586739,0.000908265213442325,0.0204081632653061
