"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.228910615511888,"default",0.618884190135299,0.66238929474781,0.201397988120873,-1.72354906149454,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.723484064261817,0.718624507455612,-0.326050725662977,-4.91375457515179,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
1,0.340033147484064,572,FALSE,0.53752738526091,0.643005994847044,"random search",0.651419783602728,0.669188219088261,-0.294512844104873,-5.04144951539285,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
2,0.967147539835423,1033,TRUE,0.190629498194903,0.63148664101027,"random search",0.384381625748478,0.477244039188317,0.219363130534162,-1.60014918956364,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
3,0.270068543497473,1891,FALSE,0.356419878778979,0.611569435801357,"random search",0.518314265163128,0.606847290881972,0.17459051040164,-1.91384000378751,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
4,0.31771826907061,1698,FALSE,0.871231413679197,0.447310937801376,"random search",0.741994480403182,0.678708317504127,-0.793168066488616,-9.20949955183838,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
5,0.673186240950599,107,TRUE,0.398458608379588,0.966888376045972,"random search",-0.460294721240892,-0.00210121590755863,-0.492757558251659,-0.639623813588794,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
6,0.0507029555737972,1988,TRUE,0.91502336312551,0.600642948411405,"random search",0.386349534202346,0.508775455018601,0.310011483389844,-0.640916537729797,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
7,0.921505678445101,255,FALSE,0.458175444626249,0.48110815230757,"random search",0.669699588041439,0.675081468333418,-0.870625155387043,-9.96516802063485,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
8,0.62363866250962,1503,FALSE,0.110418513696641,0.390785814262927,"random search",0.315533303196986,0.408894369029808,0.362799076705351,-0.882244624193713,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
9,0.0771306587848812,1551,FALSE,0.971273577073589,0.698512353003025,"random search",0.483842373720132,0.603807317153173,0.0729208599678193,-2.74238289167955,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
10,0.0155638260766864,1823,FALSE,0.187369970302098,0.302754878764972,"random search",0.102194672006588,0.179639872768906,0.104157236763094,-0.387130373371507,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
11,0.32203301996924,1536,TRUE,0.167154224659316,0.530350839719176,"random search",0.364013480075732,0.475283073253296,0.408912890902385,-0.497780830897558,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
12,0.311737748561427,1511,FALSE,0.27639146365691,0.492238786770031,"random search",0.453222428722386,0.542615981384718,0.259288249807362,-1.41338696757584,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
13,0.131886999122798,1090,TRUE,0.222408040915616,0.536881896667182,"random search",0.242510112947693,0.342952296324733,0.381868181081039,-0.399622274962837,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
14,0.643038591137156,357,FALSE,0.721462083165534,0.925628050696105,"random search",0.764037593501525,0.682210717314409,-1.23220995064763,-13.8370083739405,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
15,0.587690439540893,1909,FALSE,0.147052119392902,0.116444477578625,"random search",0.302115397302415,0.383861219039045,0.34699844495438,-1.01053686469185,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
16,0.581486938754097,348,TRUE,0.389818096673116,0.559392956551164,"random search",0.530200305908212,0.579123443535149,-0.188890746906922,-4.04933619789157,0.0433244916003537,0.000946073793755913,0.000241558165368809,23.0816326530612,49,1,0,1057,1131,49,0.125107608862829,0.086949851123657,0.615907901622187,0.142409543438254,0.00618921308576481,0.0079678204239765,0.0227052597284417,0.000578559164828346,0.000534359145031293,0.0114004227852281,0.0044442988302642,0.0338121327808864,0.108302343231085,0.0348267442027543,0.000417429720354332,0.00730770263540082,3.87393752096342e-05,0.000510153075920851,0.0433244916003537,0.000884173297966401,0.0204081632653061
