"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.142857142857143,500,TRUE,1,0.230331328637613,"default",0.72001702565571,0.700166838715838,0.703422630353861,0.723318666796562,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
1,0.26530612244898,983,FALSE,0.703,0,"optimal default",0.745839583318614,0.701692335542675,0.728333505544103,0.726688981819452,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
1,0.515049357898533,1325,TRUE,0.950065539195202,0.333171954844147,"random search",0.743755248459001,0.692506080803863,0.72674704380952,0.717434293633677,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
2,0.921965755755082,756,TRUE,0.959049225924537,0.205550551181659,"random search",0.756990435070059,0.690819240434313,0.728177090358089,0.6987956314933,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
3,0.291214060038328,1201,TRUE,0.984326329734176,0.404572642175481,"random search",0.733217053093162,0.693370665861575,0.715567356966711,0.718051964249838,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
4,0.987128006760031,1983,FALSE,0.256713769771159,0.144120633136481,"random search",0.730651030487245,0.682214078275004,0.709528336221466,0.696441271421568,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
5,0.373377252137288,1928,FALSE,0.370930174621753,0.371598351281136,"random search",0.718196737849251,0.68320393127172,0.703406431001066,0.706555105061822,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
6,0.0983242827933282,1577,TRUE,0.143500920757651,0.798910993151367,"random search",-0.465955249967206,-0.00154203442982737,-0.387953434011388,-0.00989363851709868,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
7,0.682340706931427,1995,TRUE,0.431576449307613,0.0493316168431193,"random search",0.735163600975861,0.689955794334595,0.715286708008375,0.706714872992472,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
8,0.491412253584713,1770,FALSE,0.664942923071794,0.521481021540239,"random search",0.720738056387722,0.673767481142363,0.701519884244431,0.692761892904964,0.0452446906740536,0.00171526586620926,0.00106701824684298,22.1020408163265,49,0,0,583,1083,49,0.210270160054401,0.174287933916497,0.579305406373076,0.182660228747618,0.605724838411819,0.0839061188193123,0.0804520257329981,0.0135067887393053,0.0106302533981945,0.022286386798166,0.103605939016876,0.109520565070436,0.103875752081587,0.0319655952425541,0.0199794254026026,0.0526078200803326,0.00664856704679971,0.0233666289957774,0.0452446906740536,0.000923361034164358,0.0204081632653061
