"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.249082386310277,"default",0.665050020804071,0.60014773350525,0.595987995333114,0.53821725222611,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.683804864181234,0.586598214525475,0.620483454149796,0.542286118768162,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
1,0.551239654188976,1385,TRUE,0.544336767331697,0.521748266415671,"random search",0.643361019241094,0.585021659310081,0.579756433619628,0.523911814979985,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
2,0.234100507339463,566,FALSE,0.133577304589562,0.974625357426703,"random search",-0.498353875089637,-0.00436974131607615,-0.347110835430936,-0.00063740109550503,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
3,0.762578597990796,297,TRUE,0.863121736072935,0.394964181585237,"random search",0.66617522400292,0.564563783548667,0.608580036203577,0.542332030945335,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
4,0.668521449668333,1165,TRUE,0.774467891012318,0.59633402293548,"random search",0.649817657425729,0.577731628638892,0.580877963224511,0.515821627700117,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
5,0.328651980264112,1711,TRUE,0.375558587163687,0.585200056899339,"random search",0.604587072762059,0.559556804057164,0.545632530494621,0.498848472488326,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
6,0.578348428010941,270,TRUE,0.726325547532178,0.979135936591774,"random search",-0.505662400516583,-0.00477276482011857,-0.448895838108663,-0.000659366309273546,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
7,0.602365270024166,1830,TRUE,0.255934083671309,0.947921730112284,"random search",-0.506124973898512,-0.00482503331958029,-0.440550049665221,-0.000562593460873284,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
8,0.525214952183887,1100,FALSE,0.839967372920364,0.0673592062667012,"random search",0.69086390003419,0.567377188881325,0.624649005005406,0.528502066135596,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
9,0.414977188920602,457,TRUE,0.985883938381448,0.145070469006896,"random search",0.6653501586156,0.564709762729596,0.613912356288529,0.544490988979649,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
10,0.500298589700833,26,FALSE,0.513215211802162,0.985010897507891,"random search",-0.485547679331643,-0.00400164851883522,-0.417298263270117,-0.00115453968568979,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
11,0.189344538841397,895,TRUE,0.859136835136451,0.480570384301245,"random search",0.656510639869024,0.593641466381361,0.593824397975353,0.533316240231559,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
12,0.741316000930965,23,TRUE,0.947441589855589,0.719744169153273,"random search",0.629757225690659,0.549895499398235,0.551723603817926,0.464294106252179,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
13,0.274487409973517,1993,TRUE,0.273504079063423,0.137040921952575,"random search",0.636868956085284,0.592852887292717,0.572065504257409,0.530728156404616,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
14,0.753025898942724,1597,TRUE,0.197489938209765,0.582143029896542,"random search",0.559887775819287,0.522682282879441,0.495791593858186,0.447229573770379,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
15,0.919472335139289,1783,FALSE,0.56135383581277,0.433179612271488,"random search",0.665105879697961,0.576502983234205,0.60020235797692,0.528740670453102,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
16,0.394398446427658,233,FALSE,0.780242579104379,0.331753537524492,"random search",0.685441288635556,0.582288492284325,0.61894223659388,0.533277142715967,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
17,0.775640851119533,1805,FALSE,0.553002971876413,0.188466103980318,"random search",0.678570963456428,0.589855059134634,0.611447786164558,0.540312258376547,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
18,0.628694979473948,455,TRUE,0.727031975169666,0.326304610818624,"random search",0.671805648384631,0.591370130000909,0.604627256745746,0.540825526877434,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
19,0.885394426761195,1086,FALSE,0.46649393492844,0.504467314342037,"random search",0.647671289523734,0.574812710375073,0.578734864019857,0.513281775245552,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
20,0.986595129827037,1751,FALSE,0.765355326025747,0.141163517488167,"random search",0.678144496208169,0.54896042388853,0.622918231207272,0.532866256644686,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
21,0.122422530548647,610,TRUE,0.360233657085337,0.125711870845407,"random search",0.634367293546697,0.589506598552313,0.575748667263092,0.535169620408586,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
22,0.461951886070892,951,FALSE,0.878395276283845,0.671893518883735,"random search",0.629055942923515,0.528490410282915,0.563753206280241,0.479645718398274,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
23,0.533860673429444,1592,TRUE,0.705978310154751,0.385743487626314,"random search",0.670502861821432,0.606998536190758,0.600800820473517,0.534897345813031,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
24,0.500412321882322,89,TRUE,0.277796902833506,0.248821408255026,"random search",0.645958075804767,0.585506244348944,0.574524659696101,0.525387394490733,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
25,0.318979496369138,1551,TRUE,0.530655714543536,0.147906978614628,"random search",0.660700280591451,0.602875650730949,0.600049389651502,0.546759601038785,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
26,0.92953563388437,649,FALSE,0.866970995184965,0.293740816414356,"random search",0.69546228389765,0.5562722323386,0.623244513904026,0.532885463581378,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
27,0.33596819662489,535,FALSE,0.212692437181249,0.381105107488111,"random search",0.619397022160706,0.572725883666389,0.558719449682329,0.519802423271793,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
28,0.689389024395496,168,FALSE,0.955588354868814,0.425943084061146,"random search",0.668061724189577,0.50803708267107,0.61825695048942,0.514237563933391,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
29,0.11905455077067,939,TRUE,0.103201920539141,0.282767547061667,"random search",0.560445965943952,0.547291538475303,0.505362627476871,0.483675048862563,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
30,0.990371413063258,625,FALSE,0.692058773571625,0.446008216589689,"random search",0.673471523612849,0.56937824987207,0.60568831249764,0.524697772531643,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
31,0.435831415699795,660,FALSE,0.691013460350223,0.890952884685248,"random search",0.43243487078272,0.419669113583039,0.340391530665827,0.298241249705838,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
32,0.426681136479601,1754,FALSE,0.688189132185653,0.921608054079115,"random search",0.431662059251425,0.417109843954939,0.340478748004239,0.299010328093921,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
33,0.456689583603293,870,TRUE,0.159362782770768,0.266623737057671,"random search",0.609417845743252,0.568913535007759,0.546487691346977,0.505320214997614,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
34,0.463101411936805,1343,FALSE,0.305003456631675,0.586727521149442,"random search",0.597615931604336,0.552675265836129,0.538248386707778,0.488301238114744,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
35,0.35349284671247,494,TRUE,0.64928990623448,0.00616611400619149,"random search",0.671574856935274,0.603839323543796,0.608129788539068,0.550668948886051,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
36,0.950115890707821,471,FALSE,0.422358719096519,0.161635829601437,"random search",0.663651037314287,0.594405452627542,0.604127066858716,0.538486547638532,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
37,0.447939021512866,713,FALSE,0.965953186247498,0.666124507319182,"random search",0.636689713318787,0.535424707384262,0.569834440118859,0.484815140333559,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
38,0.974744362058118,864,FALSE,0.889052421296947,0.764559522271156,"random search",0.588169868105684,0.502700704097528,0.540175100744536,0.487515101895926,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
39,0.43186445441097,1741,FALSE,0.418083531479351,0.068533857120201,"random search",0.665773515468651,0.598838602858705,0.601012562416652,0.541538275059381,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
40,0.443816292332485,576,FALSE,0.547290118341334,0.902505628764629,"random search",-0.485286704136853,-0.00291872603653198,0.342722976663435,0.300590059593337,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
41,0.0994536515790969,150,TRUE,0.524965340853669,0.356624525040388,"random search",0.63849704014445,0.58708031752747,0.573371670494248,0.532266730965821,0.0953125,0.00199600798403194,0.000851340652697924,10.4918032786885,61,2,3,501,640,58,0.289923702064697,0.225491514947899,0.525625,0.178956630342321,0.1671875,0.0554353063683444,0.0666888329064296,0.00751352456339511,0.00619332650452213,0.0236521109786642,0.0679025131179232,0.0972357459888533,0.148749912002126,0.0616740522724994,0.0147412656851956,0.0568748553999968,0.00335871159209868,0.024718426645055,0.109375,0.0015625,0.0142857142857143
