"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.249082386310277,"default",0.525616269474349,0.550134249995953,0.614832601481603,0.663921300053872,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.571908223950062,0.570442358348308,0.664771102934939,0.692257976478261,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
1,0.443472092971206,1191,FALSE,0.851045634178445,0.475988457910717,"random search",0.562226178852217,0.558935129634786,0.662526009468503,0.669685596602856,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
2,0.764531782595441,1275,FALSE,0.563052434148267,0.800128503702581,"random search",0.192115167424144,0.254271909013847,0.267244113098371,0.321412934678096,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
3,0.87961258017458,520,FALSE,0.211898922408,0.449085526401177,"random search",0.390046497254178,0.42739912433628,0.471380822292356,0.527090847518767,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
4,0.198181879241019,65,TRUE,0.376798408734612,0.341796065913513,"random search",0.443229209601409,0.470115153423039,0.532052579980528,0.562051969353345,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
5,0.511192488949746,347,FALSE,0.921604372491129,0.670479944441468,"random search",0.46097407199236,0.47071748241778,0.550713883316645,0.557647126934559,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
6,0.128982866182923,893,TRUE,0.49454751922749,0.83426002995111,"random search",0.0789068225635497,0.175398197101812,0.127585633666089,0.212181935622228,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
7,0.00163367367349565,320,FALSE,0.978891957597807,0.169292241800576,"random search",0.404911734766736,0.474797515407213,0.466620566179177,0.55081972014602,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
8,0.663039221428335,637,TRUE,0.651559311547317,0.587678496958688,"random search",0.450783283449452,0.483131104551374,0.528572415400929,0.572596451930817,0.0953125,0.0031055900621118,0.00187846559299748,10.4918032786885,61,2,3,322,640,58,0.143686338449217,0.0924839889997456,0.592053571428571,0.132240681556157,0.3515625,0.084471852980157,0.0769490860561431,0.0130474039753944,0.0105124491279107,0.0239958001489552,0.0987097553391871,0.104276968986282,0.166041865950784,0.0652484170659083,0.0179254514925273,0.0481509832957794,0.0114878863076669,0.0505987724634056,0.109375,0.0015625,0.0142857142857143
