"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.248604430924504,"default",0.522367127654792,0.55089374926073,0.573358081961503,0.601467227168279,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.568209779122192,0.569867014774691,0.612580801605078,0.619134107257759,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
1,0.0118572032079101,258,FALSE,0.110643127118237,0.739564108662307,"random search",-0.487307066617459,-0.00442165884322643,-0.375587199196739,-0.0205621348784217,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
2,0.608306545764208,182,FALSE,0.857499526324682,0.498784537194297,"random search",0.541447792151702,0.512217777240492,0.571683317878746,0.539868341121722,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
3,0.93008698686026,860,FALSE,0.919311647675931,0.499879675451666,"random search",0.56752246596877,0.502791903561259,0.555098445066358,0.450923398874103,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
4,0.204237433383241,1149,FALSE,0.646621463028714,0.873410245403647,"random search",0.0942049264419801,0.182790662728811,0.154660810935867,0.234921824742316,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
5,0.617258984828368,1099,TRUE,0.427212951635011,0.113507404224947,"random search",0.486552486151882,0.504676115617198,0.537648283612471,0.557912820213989,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
6,0.797756332438439,1199,FALSE,0.138510077027604,0.970330248354003,"random search",-0.465880764756596,-0.00173705941848912,-0.394069811818429,-0.0197398759029992,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
7,0.709647243143991,192,FALSE,0.216275835316628,0.428667893633246,"random search",0.390070077073476,0.416105750724874,0.432856588898739,0.462002167319085,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
8,0.071106226881966,660,TRUE,0.717377681704238,0.617006196873263,"random search",0.343768049525983,0.393936785109957,0.393469850897445,0.455520542788781,0.0941358024691358,0.0027027027027027,0.00150536657679418,10.6229508196721,61,2,3,370,648,58,0.143394708697516,0.0923084602842006,0.589726631393298,0.131327407725253,0.388888888888889,0.0914300410521319,0.0824348622481509,0.0151444720278978,0.0118187600765821,0.0224239558202081,0.112498433518526,0.115231923128104,0.172754417663418,0.0632762732148561,0.0208225877904932,0.0499980409321257,0.0094288394555579,0.0354156408411883,0.108024691358025,0.00154320987654321,0.0142857142857143
