"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.249507060277181,"default",0.400661803334422,0.354841784454586,0.687226413458725,0.668607056627321,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.432727892815248,0.353139590209521,0.780425102305652,0.599476932970799,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
1,0.699506477685645,77,FALSE,0.108734652632847,0.617012246279046,"random search",0.0902373636336972,0.15116156793819,0.198664926300049,0.263624576827323,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
2,0.650257812812924,658,TRUE,0.832445841096342,0.616587524302304,"random search",0.357851579280725,0.32038032390572,0.545385493120032,0.595393201191095,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
3,0.800840734736994,801,TRUE,0.526696627982892,0.381341733038425,"random search",0.350252845967411,0.302251101306822,0.566694282896716,0.616323606652733,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
4,0.619354210561141,553,TRUE,0.19256015769206,0.713424755260348,"random search",0.11616764696894,0.183422653537619,0.277496943633362,0.355151303964853,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
5,0.742216990794986,1475,FALSE,0.523623010073789,0.572126006009057,"random search",0.336412876031097,0.304991939688024,0.533767233387908,0.579421747153084,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
6,0.439342139754444,862,FALSE,0.533265493437648,0.461114663863555,"random search",0.356588986441058,0.312043993474713,0.561248192083064,0.600073408200569,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
7,0.505496210185811,1899,TRUE,0.568398141674697,0.155494482722133,"random search",0.367284658727752,0.300575032530217,0.683294445694421,0.676043720884076,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
8,0.241120990132913,443,TRUE,0.257440436142497,0.153160306159407,"random search",0.309047044801493,0.305784859545644,0.518698854773972,0.587875790890858,0.0963665086887836,0.00276243093922652,0.0081109690148313,10.3770491803279,61,2,3,362,633,58,0.176689496185912,0.1219075520814,0.576325885804559,0.145889170226915,0.00315955766192733,0.0243327186888634,0.0412779026177486,0.00229325471306759,0.00132193640926068,0.0114632251609371,0.0299806979942997,0.0715294751976359,0.14843032815299,0.0748233825272837,0.00384764730745236,0.0310665733880856,0.00312782760981308,0.0364569434073472,0.110584518167457,0.00157977883096367,0.0142857142857143
