"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.250249581607646,"default",0.647171971423998,0.617685944367248,0.709455056085004,0.77240040789178,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.676532439005729,0.612589782036033,0.743302376839077,0.792339802105071,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
1,0.793586281128228,116,FALSE,0.384900576993823,0.804632982471958,"random search",0.593086719465364,0.523313391579763,0.658150937160048,0.724945487650497,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
2,0.635892204008996,1014,FALSE,0.730650792922825,0.784621301107109,"random search",0.607752521171245,0.522600005164939,0.713668395528341,0.736500338298944,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
3,0.601610438199714,1790,FALSE,0.929458659375086,0.164889682084322,"random search",0.705045543755305,0.605569487122228,0.774121472416519,0.787863223181257,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
4,0.186614180915058,1303,TRUE,0.47145682501141,0.217010361375287,"random search",0.640979379129401,0.615687624222592,0.698953618248488,0.763569334769561,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
5,0.288230389123783,1320,FALSE,0.470106077124365,0.222747986670583,"random search",0.661603967680874,0.616451730056219,0.728975876571341,0.777986015061058,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
6,0.864997294032946,1228,TRUE,0.177924005268142,0.649505347479135,"random search",0.544993534449531,0.534688633287463,0.590824747761098,0.686719509811642,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
7,0.78036733600311,1020,TRUE,0.50997616215609,0.354933511931449,"random search",0.646115903390919,0.611164902204066,0.72674812682216,0.766867931926674,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
8,0.184998065698892,1556,FALSE,0.56436767084524,0.151242215652019,"random search",0.666601777780625,0.625640557451892,0.726137588615281,0.779729151921163,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
9,0.931465893983841,227,FALSE,0.969961477722973,0.657462390139699,"random search",0.647781246943231,0.506317411140145,0.794017085101639,0.743253179348948,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
10,0.226161511382088,187,TRUE,0.612056046887301,0.0225286034401506,"random search",0.644518937053557,0.603629248632818,0.740049718304009,0.779903289624551,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
11,0.588015598244965,1862,FALSE,0.853459212416783,0.21320613892749,"random search",0.680015605025223,0.588673030121823,0.767598532395088,0.794182792510287,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
12,0.840424472466111,1480,FALSE,0.326823786878958,0.412745439913124,"random search",0.624527349339856,0.575154549909598,0.705875935111633,0.741424845420126,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
13,0.552430597599596,1261,TRUE,0.392031755833887,0.551638710545376,"random search",0.61665978586229,0.582643516101428,0.687789533316264,0.735154393255298,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
14,0.744423661846668,1662,FALSE,0.832283913413994,0.236619706498459,"random search",0.694233770629133,0.603386536700978,0.784324538840618,0.796916699581474,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
15,0.859177098842338,1605,FALSE,0.772436284064315,0.233670336659998,"random search",0.686583196235025,0.574203470060988,0.783914935709416,0.798511382208923,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
16,0.110663218889385,566,FALSE,0.946098614716902,0.572821429464966,"random search",0.583778075134669,0.564648346197848,0.680643974730049,0.72827215300411,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
17,0.509957443457097,499,TRUE,0.354880668409169,0.122745767468587,"random search",0.617174285782591,0.571722766396902,0.704399294636174,0.760678180226512,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
18,0.924848375841975,1531,FALSE,0.846771908993833,0.804821711732075,"random search",0.59574913669856,0.491251030660021,0.740766928023728,0.738251010785582,0.0982286634460548,0.00263157894736842,0.0132521433071834,10.1803278688525,61,2,3,380,621,58,0.105196846126695,0.0800549528959699,0.661042264696959,0.115958020164177,0.0531400966183575,0.0368277319293795,0.0419437761078773,0.0031127292136136,0.00236232707593241,0.00692151476256219,0.0431341569586802,0.0737758760518304,0.147087119667359,0.071683189414154,0.00670823777188138,0.0308105238416412,0.00223470748499207,0.016669891457811,0.111111111111111,0.00161030595813205,0.0144927536231884
