"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.248309613591495,"default",0.72796613138743,0.695358901302117,0.806398811713699,0.759121181891985,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.750594612759755,0.69160501194772,0.827753351501372,0.768879032119123,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
1,0.310396903427318,702,TRUE,0.932106093759648,0.591684514423832,"random search",0.715633037620598,0.671343194510018,0.804065706386697,0.75561080775327,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
2,0.534851850708947,1421,TRUE,0.742115396214649,0.344606400001794,"random search",0.749538611667467,0.680984749998799,0.823621859764343,0.757462670768634,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
3,0.503401884343475,1841,FALSE,0.640391782601364,0.48577190306969,"random search",0.736724360997833,0.66633220252742,0.815786578282848,0.757259653096882,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
4,0.169828448910266,484,TRUE,0.167282717349008,0.0371799943968654,"random search",0.675793664169454,0.656653592246352,0.774266204767003,0.738081049467413,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
5,0.113698982167989,274,TRUE,0.838069300586358,0.928628882858902,"random search",0.435676342470058,0.478606901780639,0.533993972465864,0.597712871347245,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
6,0.486614474328235,1314,TRUE,0.599716631905176,0.294351571239531,"random search",0.747005930761561,0.689937404581153,0.820293883040711,0.759469170472024,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
7,0.330481594894081,1144,TRUE,0.613395305280574,0.342053627595305,"random search",0.735352281541624,0.681235767012433,0.819246566087698,0.762762093014812,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
8,0.150666531873867,552,TRUE,0.671781520894729,0.134298877324909,"random search",0.725508955482431,0.677672786830705,0.809106492575458,0.763488598530874,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
9,0.935280488338321,163,FALSE,0.15964311468415,0.728677237406373,"random search",-0.488603620529471,-0.0038794710330099,-0.46977331028157,-0.0114753512549279,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
10,0.157984308898449,1215,FALSE,0.118312958488241,0.980913489824161,"random search",-0.468491626460121,-0.00180387979230789,-0.407487073201531,-0.0142886747109296,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
11,0.823278004769236,113,TRUE,0.409036432718858,0.870486882282421,"random search",-0.503186045670916,-0.00436650970310182,-0.39809781171107,-0.0160713373417096,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
12,0.621040774742141,1061,FALSE,0.136027349135838,0.9399449438788,"random search",-0.447815203994139,-0.00105426382450879,-0.367652893596153,-0.0124988869674592,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
13,0.336901487084106,1222,TRUE,0.454064594488591,0.578399622114375,"random search",0.689973715162172,0.658147842191196,0.788573270857457,0.739336281481135,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
14,0.712516739731655,555,TRUE,0.250469369674101,0.0750541561283171,"random search",0.718738730043263,0.672293107786998,0.817227673154176,0.751289292053513,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
15,0.830323139671236,1910,FALSE,0.228380296332762,0.59954036725685,"random search",0.648800524067642,0.608652160274538,0.771886738774954,0.721267496683843,0.0934150076569678,0.00164203612479475,0.000424967243019939,10.7049180327869,61,2,3,609,653,58,0.34231302079496,0.267970091373131,0.478371840113634,0.199794668658295,0.0275650842266462,0.0243118570934346,0.038194030536029,0.00204761639153189,0.00128256508228439,0.00793903895557515,0.0272424645756208,0.0512456127520752,0.142779479292872,0.0573586013271694,0.00301946221171305,0.024704390504932,0.00033017327725012,0.00145644065304602,0.105666156202144,0.00153139356814701,0.0144927536231884
