"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.249629526929212,"default",0.52411247284611,0.472391225272037,0.676068965476904,0.699901680410723,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.546342308545267,0.469213806304456,0.712292816148602,0.704225190634748,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
1,0.474331479286775,454,FALSE,0.973564057424664,0.79970523994416,"random search",0.402712186436496,0.355387134032494,0.520138444996887,0.559468141329684,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
2,0.5237795219291,1806,TRUE,0.233001356897876,0.353930694516748,"random search",0.45826871650732,0.427710236452648,0.58075524778633,0.623339772786516,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
3,0.988458631793037,682,FALSE,0.527302475715987,0.851912173908204,"random search",0.369606394368916,0.351763331017585,0.482955309194887,0.529847757596069,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
4,0.383924454683438,569,FALSE,0.434412703453563,0.978863142197952,"random search",-0.518118901697655,-0.00569798211885231,-0.312802293638695,-0.000618919210483071,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
5,0.30713565996848,106,FALSE,0.246355629665777,0.035408586030826,"random search",0.49134413714217,0.448221905212509,0.623079611499041,0.645869846847086,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
6,0.569981709355488,1073,TRUE,0.648799844225869,0.768589519429952,"random search",0.41982062834647,0.385083338463082,0.529598844656196,0.57033447747008,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
7,0.646440406795591,1588,TRUE,0.311859274026938,0.803994564572349,"random search",-0.474280887126173,-0.00198659795484013,0.44028357506497,0.501789905968955,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
8,0.489980180514976,1780,TRUE,0.534158470388502,0.696878093061969,"random search",0.428495069486655,0.400815127560407,0.538844324802853,0.578583355070373,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
9,0.938890080899,1858,FALSE,0.469467564695515,0.725937169976532,"random search",0.412761700878806,0.380941183015153,0.536701759585542,0.571553760135016,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
10,0.497283105738461,1946,FALSE,0.87295362802688,0.664949101861566,"random search",0.437329213819343,0.372637031304693,0.553521453575258,0.505614010334009,0.0966719492868463,0.00180505415162455,0.00063326152149394,10.344262295082,61,2,3,554,631,58,0.205200766985663,0.134724393383126,0.552171616252096,0.150673954358208,0.0063391442155309,0.0273290801122025,0.041370574609151,0.00245569066320159,0.00107275492245943,0.00362151414717716,0.0318273007856341,0.0509296579590715,0.166298481829566,0.0616802598990895,0.00348783230067972,0.0360358822354203,0.0106122669038641,0.0937175854415899,0.109350237717908,0.00158478605388273,0.0144927536231884
