"n","mtry","numtrees","replace","samplefraction","minnodesize","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,0.114754098360656,500,TRUE,1,0.250186989033314,"default",0.247682731866195,0.224662100351223,0.301988898971535,0.274529337740725,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
1,0.262295081967213,983,FALSE,0.703,0,"optimal default",0.274178932994603,0.22616172567032,0.336451045308281,0.282705965496517,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
1,0.150032615521923,944,TRUE,0.176394501561299,0.612982413498685,"random search",0.012077334214352,0.110952103117373,0.0256018957283866,0.110930891492181,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
2,0.8006624605041,959,FALSE,0.728504855558276,0.342680796748027,"random search",0.265285329743062,0.201021052778853,0.33486397468321,0.276956011214125,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
3,0.46020033955574,1493,FALSE,0.26419030984398,0.113980428082868,"random search",0.192072713143308,0.192479219734576,0.221298690422343,0.227730939304783,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
4,0.147778632352129,1220,TRUE,0.988602660223842,0.365444627357647,"random search",0.244995320735671,0.221440994265089,0.297009993538314,0.270134541939924,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
5,0.385378562612459,1611,FALSE,0.672565840720199,0.701766577549279,"random search",0.113568490487386,0.143566187333072,0.153196376884619,0.17316730878189,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
6,0.613844217965379,1605,FALSE,0.459489889862016,0.976095460355282,"random search",-0.506979686668087,-0.00473539417550328,-0.385967514976753,-0.00106741343418282,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
7,0.557538838358596,1661,FALSE,0.454153012880124,0.261742835165933,"random search",0.222598193706787,0.194390996083627,0.284670485240424,0.261287565642246,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
8,0.988651354098693,952,FALSE,0.436979728355072,0.349385309033096,"random search",0.231230064204785,0.202237196862353,0.261137650609809,0.241697342097458,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
9,0.113344580866396,832,FALSE,0.813947819825262,0.928995361784473,"random search",-0.0557418589658323,0.0820803577994453,-0.0446305521474588,0.0787463665679011,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
10,0.982191669056192,896,TRUE,0.917175215599127,0.875129255233333,"random search",0.0431051590164986,0.115516918155655,0.0760635481074184,0.129621324200322,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
11,0.464014854747802,1859,TRUE,0.3779619053239,0.965830842033029,"random search",-0.480453434135126,-0.00227559799951194,-0.350719764856974,-0.000959685081463713,0.0980707395498392,0.00190114068441065,0.000737513548240557,10.1967213114754,61,2,3,526,622,58,0.119030621177054,0.0824670636090286,0.586288470372072,0.129668488240533,0.141479099678457,0.0568742160603596,0.0540348264964284,0.00614974477509132,0.00533510980423159,0.0123718941938171,0.0741677280787193,0.0762575962477489,0.169487224486042,0.0654367993512888,0.0104620500277173,0.0267141892069166,0.00277408867649975,0.0102383729483255,0.112540192926045,0.00160771704180064,0.0142857142857143
