"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.737977063111636,0.732285843515791,0.668014532111626,0.526691861108604,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.759551899498257,0.792405722605194,0.660660718435201,0.63877851809233,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
1,832,0.00102406533452384,0.60005307730753,10,2.89993112363359,0.499314401764423,14.0035788213262,0.0144434039964817,"random search",0.152672225040884,0.0436052565173375,0.0852504379395281,-0.0416602258836076,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
2,1623,0.166499974747767,0.659545236430131,15,1.64145213479633,0.156987355556339,51.8502685288149,161.955732926662,"random search",-0.0430439185337559,0.0285335724530434,0.00384858891716144,0.0365742700886649,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
3,2142,0.00631931189509959,0.297307232115418,2,1.22127328490296,0.533205246087164,1.58584962394113,0.0398773630094745,"random search",0.74643015360187,0.757205052272608,0.667134328560488,0.673852170264607,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
4,4786,0.346432923615344,0.437168221641332,14,10.7683035442654,0.545188731746748,0.131544920807683,994.662133654636,"random search",-0.665447080941322,-0.479988600748082,-0.740944446834084,-0.53044131472898,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
5,2894,0.0346286027528568,0.335987752210349,7,1.524250573222,0.322825714712963,12.3703486943203,0.208408721677757,"random search",0.69988764576865,0.704522576794683,0.610855559691292,0.574393630878385,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
6,2004,0.013587230432099,0.147431292175315,10,1.76251967772179,0.835984067991376,2.01801917186725,534.273344741114,"random search",-0.661248347815841,-0.479987089713557,-0.602347957377798,-0.530455249853185,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
7,3517,0.00515625939463006,0.348368836566806,6,16.3582530624549,0.810788144590333,346.363788399225,0.165682496686068,"random search",0.199988695952439,0.220095288868585,0.186318976344834,0.184475491752524,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
8,4003,0.00171561558365173,0.454522700491361,21,30.7449428523892,0.483220507623628,1.06226111028603,0.00124298462630553,"random search",0.373926972108236,0.344633953160472,0.388716180180219,0.33056715880639,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
9,357,0.236598020701514,0.567478141048923,23,1.84958614318835,0.228096348699182,0.0375926615807324,0.00284306758721654,"random search",0.806928030738897,0.746322298181484,0.55215806752613,0.267123194669976,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
10,4280,0.0603161147057437,0.235785561311059,3,1.69211191089602,0.0757554296869785,0.69850957756248,0.003441755158418,"random search",0.724101648084915,0.734064501188748,0.700072882198267,0.667425329782493,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
11,1606,0.081541031196839,0.460186286247335,5,22.6153731997035,0.782517387764528,0.0794802086429892,22.4918847274229,"random search",0.555118282723693,0.475584580911168,0.531060685102967,0.38899763163784,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
12,1510,0.1740537269935,0.926160718686879,25,12.2915008773889,0.289917241549119,0.654913534626287,49.2313079708961,"random search",0.466762525874546,0.451668222274309,0.44094138597526,0.361665477194789,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
13,3628,0.00185988567569181,0.791854110662825,6,30.0528604959474,0.848349157487974,0.0109154447339966,0.361348668028681,"random search",0.557534227168267,0.502114179571722,0.446818739428972,0.333599160935219,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
14,4026,0.00688189518219819,0.513935274491087,19,21.8059598822648,0.283823529491201,1.96829563381389,0.0255887298266858,"random search",0.604372378807209,0.518842863790021,0.566218993844458,0.424695480153274,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
15,1183,0.0586939768453491,0.133023697067983,5,5.32995491927656,0.367559875594452,0.111351389967968,0.192034007758836,"random search",0.634350987563837,0.48668761829855,0.73121037915063,0.601382919696047,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
16,2658,0.52580279838605,0.389086551615037,16,4.4964524473028,0.532018616097048,2.15166195383804,930.098835144345,"random search",-0.735105277478036,-0.479985600240409,-0.672482488095941,-0.530449969221447,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
17,3923,0.0246947886815202,0.768538476759568,2,1.05003956289475,0.779266973026097,0.260118188340145,10.0800990056057,"random search",0.72484121262106,0.691402447920513,0.587685588252057,0.555258685441221,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
18,940,0.00293072645969039,0.36818980127573,16,26.8708067432162,0.55080560175702,2.48181706725392,452.972323937851,"random search",-0.568137674238259,-0.479982181957658,-0.783275401534573,-0.530454846055333,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
19,3615,0.00200907510139974,0.434879300533794,25,39.0391761445555,0.180633102776483,0.00878312152210739,0.204373605612024,"random search",0.021586820031418,0.134306172188706,0.204822355776459,0.204570336473775,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
20,4552,0.0586420522501232,0.735770242917351,2,4.33898472868405,0.120757815660909,419.039418326732,1.62972652173807,"random search",0.635903049747055,0.606646489337366,0.595157641184967,0.549312930953619,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
21,212,0.157609121245739,0.182631045090966,21,27.1150268167385,0.690268813632429,281.360893961326,6.10443348569256,"random search",-0.558352962425596,-0.0144483943981359,-0.278426291432448,-0.020538282824875,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
22,3335,0.0158196940494318,0.518452892522328,19,1.33277959752879,0.174388694344088,89.1911313795188,6.32368278956681,"random search",0.535941407417805,0.518525255884198,0.500658430606685,0.433246460486479,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
23,1976,0.573892583492309,0.22967310200911,9,29.0867813722131,0.582160713616759,5.75523875541539,18.0917120845703,"random search",-0.310077253444027,0.00366454760141122,-0.0282842032529529,0.0855978011438125,0.5,0.00543478260869565,0,2,92,1,0,184,184,92,0.243018062791309,0.156263843718211,0.536389413988658,0.172740273408046,0.467391304347826,0.0422386396869019,0.038716179255304,0.00327489879190197,0.0021141369382263,0.00462606645692485,0.0715199983770044,0.106970403861439,0.16503734351371,0.0584432379468466,0.0153744036238578,0.0600177644445656,0.00237161543409221,0.0125452587336939,0.5,0.0108695652173913,0.0217391304347826
